Dataset,method,Experiment,RMSE
5_spambase,chain02_datawig,1,0.2787 ± 0.0000
5_spambase,chain02_datawig,2,0.3065 ± 0.0277
5_spambase,chain02_datawig,3,0.3484 ± 0.0635
5_spambase,chain02_datawig,4,0.3340 ± 0.0604
5_spambase,chain02_datawig,5,0.3464 ± 0.0594
5_spambase,chain02_datawig,6,0.3387 ± 0.0569
5_spambase,chain02_datawig,7,0.3464 ± 0.0558
5_spambase,chain02_datawig,8,0.3517 ± 0.0541
5_spambase,chain02_datawig,9,0.3511 ± 0.0511
5_spambase,chain02_datawig,10,0.3497 ± 0.0486
5_spambase,chain02_datawig,11,0.3448 ± 0.0489
5_spambase,chain02_datawig,12,0.3421 ± 0.0476
5_spambase,chain02_datawig,13,0.3368 ± 0.0494
5_spambase,chain02_datawig,14,0.3360 ± 0.0477
5_spambase,chain02_datawig,15,0.3399 ± 0.0483
5_spambase,chain02_datawig,16,0.3417 ± 0.0473
5_spambase,chain02_datawig,17,0.3389 ± 0.0473
5_spambase,chain02_datawig,18,0.3361 ± 0.0474
5_spambase,chain02_datawig,19,0.3361 ± 0.0462
5_spambase,chain02_datawig,20,0.3332 ± 0.0466
5_spambase,chain02_datawig,21,0.3322 ± 0.0457
5_spambase,chain02_datawig,22,0.3303 ± 0.0455
5_spambase,chain02_datawig,23,0.3273 ± 0.0467
5_spambase,chain02_datawig,24,0.3259 ± 0.0462
5_spambase,chain02_datawig,25,0.3247 ± 0.0456
5_spambase,chain02_datawig,26,0.3237 ± 0.0450
5_spambase,chain02_datawig,27,0.3221 ± 0.0449
5_spambase,chain02_datawig,28,0.3208 ± 0.0446
5_spambase,chain02_datawig,29,0.3193 ± 0.0446
5_spambase,chain02_datawig,30,0.3198 ± 0.0439
