Dataset,method,Iteration,Random_train_col,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
8_liver,chain02_datawig,1,"['gammagt', 'sgpt', 'alkphos', 'mcv', 'selector', 'sgot']",gammagt,0.17880710917088685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain02_datawig,1,"['gammagt', 'sgpt', 'alkphos', 'mcv', 'selector', 'sgot']",sgpt,0.056489019360119165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain02_datawig,1,"['gammagt', 'sgpt', 'alkphos', 'mcv', 'selector', 'sgot']",alkphos,0.17679670804761463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain02_datawig,1,"['gammagt', 'sgpt', 'alkphos', 'mcv', 'selector', 'sgot']",mcv,0.1883492712985858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain02_datawig,1,"['gammagt', 'sgpt', 'alkphos', 'mcv', 'selector', 'sgot']",selector,0.42485977572251676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain02_datawig,1,"['gammagt', 'sgpt', 'alkphos', 'mcv', 'selector', 'sgot']",sgot,0.11955931815826448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain02_datawig,2,"['gammagt', 'sgpt', 'alkphos', 'mcv', 'selector', 'sgot']",gammagt,,0.12870998760594912,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain02_datawig,2,"['gammagt', 'sgpt', 'alkphos', 'mcv', 'selector', 'sgot']",sgpt,,0.12987672478680387,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain02_datawig,2,"['gammagt', 'sgpt', 'alkphos', 'mcv', 'selector', 'sgot']",alkphos,,0.3204879165008293,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain02_datawig,2,"['gammagt', 'sgpt', 'alkphos', 'mcv', 'selector', 'sgot']",mcv,,0.13282271089422917,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain02_datawig,2,"['gammagt', 'sgpt', 'alkphos', 'mcv', 'selector', 'sgot']",selector,,0.35763666815300194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain02_datawig,2,"['gammagt', 'sgpt', 'alkphos', 'mcv', 'selector', 'sgot']",sgot,,0.3953484958572225,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain02_datawig,3,"['gammagt', 'sgpt', 'alkphos', 'mcv', 'selector', 'sgot']",gammagt,,,0.08945953854052112,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_liver,chain02_datawig,3,"['gammagt', 'sgpt', 'alkphos', 'mcv', 'selector', 'sgot']",sgpt,,,0.1755156187000028,,,,,,,,,,,,,,,,,,,,,,,,,,,
