Dataset,method,Iteration,Random_train_col,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
9_abalone,chain02_datawig,1,"['Shucked weight', 'Diameter', 'Viscera weight', 'Height', 'Length', 'Whole weight', 'Rings', 'Shell weight']",Shucked weight,0.14961361782706648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain02_datawig,1,"['Shucked weight', 'Diameter', 'Viscera weight', 'Height', 'Length', 'Whole weight', 'Rings', 'Shell weight']",Diameter,0.16218816921065962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain02_datawig,1,"['Shucked weight', 'Diameter', 'Viscera weight', 'Height', 'Length', 'Whole weight', 'Rings', 'Shell weight']",Viscera weight,0.3076093975247086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain02_datawig,1,"['Shucked weight', 'Diameter', 'Viscera weight', 'Height', 'Length', 'Whole weight', 'Rings', 'Shell weight']",Height,0.1670744264115625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain02_datawig,1,"['Shucked weight', 'Diameter', 'Viscera weight', 'Height', 'Length', 'Whole weight', 'Rings', 'Shell weight']",Length,0.16338954209871595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain02_datawig,1,"['Shucked weight', 'Diameter', 'Viscera weight', 'Height', 'Length', 'Whole weight', 'Rings', 'Shell weight']",Whole weight,0.15552102534571713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain02_datawig,1,"['Shucked weight', 'Diameter', 'Viscera weight', 'Height', 'Length', 'Whole weight', 'Rings', 'Shell weight']",Rings,0.11467842389833964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain02_datawig,1,"['Shucked weight', 'Diameter', 'Viscera weight', 'Height', 'Length', 'Whole weight', 'Rings', 'Shell weight']",Shell weight,0.15932302279075677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain02_datawig,2,"['Shucked weight', 'Diameter', 'Viscera weight', 'Height', 'Length', 'Whole weight', 'Rings', 'Shell weight']",Shucked weight,,0.16440365640753807,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain02_datawig,2,"['Shucked weight', 'Diameter', 'Viscera weight', 'Height', 'Length', 'Whole weight', 'Rings', 'Shell weight']",Diameter,,0.1689812875735979,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain02_datawig,2,"['Shucked weight', 'Diameter', 'Viscera weight', 'Height', 'Length', 'Whole weight', 'Rings', 'Shell weight']",Viscera weight,,0.18312353833750206,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain02_datawig,2,"['Shucked weight', 'Diameter', 'Viscera weight', 'Height', 'Length', 'Whole weight', 'Rings', 'Shell weight']",Height,,0.1727200268995883,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain02_datawig,2,"['Shucked weight', 'Diameter', 'Viscera weight', 'Height', 'Length', 'Whole weight', 'Rings', 'Shell weight']",Length,,0.18002377637247616,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain02_datawig,2,"['Shucked weight', 'Diameter', 'Viscera weight', 'Height', 'Length', 'Whole weight', 'Rings', 'Shell weight']",Whole weight,,0.19268798132768283,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain02_datawig,2,"['Shucked weight', 'Diameter', 'Viscera weight', 'Height', 'Length', 'Whole weight', 'Rings', 'Shell weight']",Rings,,0.12737896682715152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain02_datawig,2,"['Shucked weight', 'Diameter', 'Viscera weight', 'Height', 'Length', 'Whole weight', 'Rings', 'Shell weight']",Shell weight,,0.16573486264092588,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain02_datawig,3,"['Shucked weight', 'Diameter', 'Viscera weight', 'Height', 'Length', 'Whole weight', 'Rings', 'Shell weight']",Shucked weight,,,0.1373704581837996,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain02_datawig,3,"['Shucked weight', 'Diameter', 'Viscera weight', 'Height', 'Length', 'Whole weight', 'Rings', 'Shell weight']",Diameter,,,0.1671897959064984,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain02_datawig,3,"['Shucked weight', 'Diameter', 'Viscera weight', 'Height', 'Length', 'Whole weight', 'Rings', 'Shell weight']",Viscera weight,,,0.16775723422607744,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain02_datawig,3,"['Shucked weight', 'Diameter', 'Viscera weight', 'Height', 'Length', 'Whole weight', 'Rings', 'Shell weight']",Height,,,0.13454893564306628,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain02_datawig,3,"['Shucked weight', 'Diameter', 'Viscera weight', 'Height', 'Length', 'Whole weight', 'Rings', 'Shell weight']",Length,,,0.16687622593584928,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain02_datawig,3,"['Shucked weight', 'Diameter', 'Viscera weight', 'Height', 'Length', 'Whole weight', 'Rings', 'Shell weight']",Whole weight,,,0.16204574259151844,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_abalone,chain02_datawig,3,"['Shucked weight', 'Diameter', 'Viscera weight', 'Height', 'Length', 'Whole weight', 'Rings', 'Shell weight']",Rings,,,0.1479837333400729,,,,,,,,,,,,,,,,,,,,,,,,,,,
