Dataset,method,Experiment,RMSE
1_breast,chain02_datawig,1,0.3223 ± 0.1078
1_breast,chain02_datawig,2,0.2923 ± 0.1087
1_breast,chain02_datawig,3,0.3432 ± 0.1277
1_breast,chain02_datawig,4,0.3253 ± 0.1094
1_breast,chain02_datawig,5,0.2849 ± 0.1264
1_breast,chain02_datawig,6,0.4067 ± 0.1889
1_breast,chain02_datawig,7,0.3350 ± 0.1410
1_breast,chain02_datawig,8,0.3152 ± 0.1415
1_breast,chain02_datawig,9,0.2786 ± 0.1410
1_breast,chain02_datawig,10,0.3685 ± 0.1897
1_breast,chain02_datawig,11,0.3404 ± 0.1336
1_breast,chain02_datawig,12,0.3568 ± 0.1383
1_breast,chain02_datawig,13,0.2853 ± 0.1201
1_breast,chain02_datawig,14,0.3479 ± 0.1365
1_breast,chain02_datawig,15,0.3458 ± 0.1253
1_breast,chain02_datawig,16,0.3737 ± 0.1147
1_breast,chain02_datawig,17,0.3143 ± 0.1214
1_breast,chain02_datawig,18,0.4141 ± 0.1659
1_breast,chain02_datawig,19,0.3455 ± 0.1259
1_breast,chain02_datawig,20,0.3793 ± 0.0965
1_breast,chain02_datawig,21,0.2933 ± 0.1289
1_breast,chain02_datawig,22,0.3583 ± 0.1884
1_breast,chain02_datawig,23,0.3245 ± 0.1114
1_breast,chain02_datawig,24,0.2952 ± 0.1164
1_breast,chain02_datawig,25,0.3376 ± 0.1326
1_breast,chain02_datawig,26,0.3788 ± 0.1918
1_breast,chain02_datawig,27,0.3584 ± 0.1138
1_breast,chain02_datawig,28,0.2989 ± 0.0988
1_breast,chain02_datawig,29,0.3787 ± 0.1621
1_breast,chain02_datawig,30,0.3942 ± 0.1999
