Dataset,method,Experiment,RMSE
2_heart,chain02_datawig,1,0.3264 ± 0.1277
2_heart,chain02_datawig,2,0.3632 ± 0.1557
2_heart,chain02_datawig,3,0.3361 ± 0.1143
2_heart,chain02_datawig,4,0.2890 ± 0.1228
2_heart,chain02_datawig,5,0.3343 ± 0.1134
2_heart,chain02_datawig,6,0.3423 ± 0.1261
2_heart,chain02_datawig,7,0.3046 ± 0.1272
2_heart,chain02_datawig,8,0.3063 ± 0.1472
2_heart,chain02_datawig,9,0.3374 ± 0.1417
2_heart,chain02_datawig,10,0.2993 ± 0.1327
2_heart,chain02_datawig,11,0.3318 ± 0.1478
2_heart,chain02_datawig,12,0.3022 ± 0.1197
2_heart,chain02_datawig,13,0.2938 ± 0.1033
2_heart,chain02_datawig,14,0.3377 ± 0.1029
2_heart,chain02_datawig,15,0.3396 ± 0.1061
2_heart,chain02_datawig,16,0.2943 ± 0.1259
2_heart,chain02_datawig,17,0.3401 ± 0.1471
2_heart,chain02_datawig,18,0.3324 ± 0.1025
2_heart,chain02_datawig,19,0.3074 ± 0.1156
2_heart,chain02_datawig,20,0.3160 ± 0.1165
2_heart,chain02_datawig,21,0.3278 ± 0.1215
2_heart,chain02_datawig,22,0.2786 ± 0.1194
2_heart,chain02_datawig,23,0.3207 ± 0.1176
2_heart,chain02_datawig,24,0.3287 ± 0.1165
2_heart,chain02_datawig,25,0.3014 ± 0.1113
2_heart,chain02_datawig,26,0.3299 ± 0.1415
2_heart,chain02_datawig,27,0.3166 ± 0.1319
2_heart,chain02_datawig,28,0.3263 ± 0.0851
2_heart,chain02_datawig,29,0.2639 ± 0.0948
2_heart,chain02_datawig,30,0.3193 ± 0.1411
