Dataset,method,Experiment,RMSE
31_blood,chain02_datawig,1,0.1705 ± 0.1004
31_blood,chain02_datawig,2,0.1700 ± 0.1211
31_blood,chain02_datawig,3,0.2035 ± 0.1211
31_blood,chain02_datawig,4,0.1462 ± 0.0685
31_blood,chain02_datawig,5,0.2345 ± 0.0995
31_blood,chain02_datawig,6,0.1821 ± 0.0837
31_blood,chain02_datawig,7,0.1873 ± 0.0988
31_blood,chain02_datawig,8,0.2369 ± 0.1090
31_blood,chain02_datawig,9,0.1725 ± 0.0924
31_blood,chain02_datawig,10,0.3056 ± 0.2471
31_blood,chain02_datawig,11,0.1928 ± 0.0839
31_blood,chain02_datawig,12,0.1489 ± 0.0638
31_blood,chain02_datawig,13,0.1848 ± 0.0398
31_blood,chain02_datawig,14,0.2396 ± 0.1156
31_blood,chain02_datawig,15,0.1976 ± 0.0809
31_blood,chain02_datawig,16,0.2026 ± 0.0946
31_blood,chain02_datawig,17,0.2591 ± 0.1136
31_blood,chain02_datawig,18,0.2999 ± 0.1743
31_blood,chain02_datawig,19,0.1413 ± 0.0712
31_blood,chain02_datawig,20,0.2116 ± 0.1008
31_blood,chain02_datawig,21,0.1598 ± 0.0830
31_blood,chain02_datawig,22,0.2117 ± 0.0762
31_blood,chain02_datawig,23,0.2187 ± 0.0811
31_blood,chain02_datawig,24,0.2345 ± 0.1274
31_blood,chain02_datawig,25,0.1723 ± 0.0741
31_blood,chain02_datawig,26,0.1815 ± 0.1061
31_blood,chain02_datawig,27,0.2147 ± 0.0922
31_blood,chain02_datawig,28,0.1891 ± 0.0473
31_blood,chain02_datawig,29,0.2702 ± 0.1616
31_blood,chain02_datawig,30,0.1613 ± 0.0689
