Dataset,method,Experiment,RMSE
4_wine,chain02_datawig,1,0.2608 ± 0.0908
4_wine,chain02_datawig,2,0.2641 ± 0.1157
4_wine,chain02_datawig,3,0.2282 ± 0.0787
4_wine,chain02_datawig,4,0.2604 ± 0.1103
4_wine,chain02_datawig,5,0.2561 ± 0.0555
4_wine,chain02_datawig,6,0.2112 ± 0.0817
4_wine,chain02_datawig,7,0.2461 ± 0.0804
4_wine,chain02_datawig,8,0.2516 ± 0.0793
4_wine,chain02_datawig,9,0.2664 ± 0.1064
4_wine,chain02_datawig,10,0.2391 ± 0.0779
4_wine,chain02_datawig,11,0.2826 ± 0.0945
4_wine,chain02_datawig,12,0.2564 ± 0.0501
4_wine,chain02_datawig,13,0.2745 ± 0.0822
4_wine,chain02_datawig,14,0.2945 ± 0.1146
4_wine,chain02_datawig,15,0.2532 ± 0.0591
4_wine,chain02_datawig,16,0.2735 ± 0.0926
4_wine,chain02_datawig,17,0.2632 ± 0.0670
4_wine,chain02_datawig,18,0.2474 ± 0.0773
4_wine,chain02_datawig,19,0.2683 ± 0.0950
4_wine,chain02_datawig,20,0.2758 ± 0.1353
4_wine,chain02_datawig,21,0.2921 ± 0.0641
4_wine,chain02_datawig,22,0.2676 ± 0.0654
4_wine,chain02_datawig,23,0.2608 ± 0.1045
4_wine,chain02_datawig,24,0.2440 ± 0.1081
4_wine,chain02_datawig,25,0.2147 ± 0.0895
4_wine,chain02_datawig,26,0.2472 ± 0.0556
4_wine,chain02_datawig,27,0.2565 ± 0.1263
4_wine,chain02_datawig,28,0.3033 ± 0.0603
4_wine,chain02_datawig,29,0.2748 ± 0.1009
4_wine,chain02_datawig,30,0.2463 ± 0.0518
