Dataset,method,Experiment,RMSE
5_spambase,chain02_datawig,1,0.1481 ± 0.0836
5_spambase,chain02_datawig,2,0.1643 ± 0.1006
5_spambase,chain02_datawig,3,0.1511 ± 0.0978
5_spambase,chain02_datawig,4,0.1677 ± 0.1065
5_spambase,chain02_datawig,5,0.1731 ± 0.1439
5_spambase,chain02_datawig,6,0.1525 ± 0.1050
5_spambase,chain02_datawig,7,0.1558 ± 0.0898
5_spambase,chain02_datawig,8,0.2038 ± 0.1644
5_spambase,chain02_datawig,9,0.2161 ± 0.1484
5_spambase,chain02_datawig,10,0.1482 ± 0.1407
5_spambase,chain02_datawig,11,0.1374 ± 0.0822
5_spambase,chain02_datawig,12,0.1928 ± 0.1163
5_spambase,chain02_datawig,13,0.1483 ± 0.1174
5_spambase,chain02_datawig,14,0.1640 ± 0.1089
5_spambase,chain02_datawig,15,0.2827 ± 0.1802
5_spambase,chain02_datawig,16,0.1864 ± 0.1625
5_spambase,chain02_datawig,17,0.2095 ± 0.1375
5_spambase,chain02_datawig,18,0.1318 ± 0.0813
5_spambase,chain02_datawig,19,0.1628 ± 0.1150
5_spambase,chain02_datawig,20,0.1443 ± 0.0970
5_spambase,chain02_datawig,21,0.1738 ± 0.1119
5_spambase,chain02_datawig,22,0.1442 ± 0.1001
5_spambase,chain02_datawig,23,0.1772 ± 0.1341
5_spambase,chain02_datawig,24,0.1523 ± 0.0897
5_spambase,chain02_datawig,25,0.2173 ± 0.1469
5_spambase,chain02_datawig,26,0.1706 ± 0.1121
5_spambase,chain02_datawig,27,0.1174 ± 0.0660
5_spambase,chain02_datawig,28,0.1468 ± 0.0917
5_spambase,chain02_datawig,29,0.1974 ± 0.1352
5_spambase,chain02_datawig,30,0.2911 ± 0.2625
