Dataset,method,Experiment,RMSE
6_chess,chain02_datawig,1,0.2865 ± 0.0099
6_chess,chain02_datawig,2,0.2845 ± 0.0088
6_chess,chain02_datawig,3,0.2821 ± 0.0098
6_chess,chain02_datawig,4,0.2862 ± 0.0085
6_chess,chain02_datawig,5,0.2873 ± 0.0085
6_chess,chain02_datawig,6,0.2863 ± 0.0099
6_chess,chain02_datawig,7,0.2875 ± 0.0113
6_chess,chain02_datawig,8,0.2885 ± 0.0116
6_chess,chain02_datawig,9,0.2827 ± 0.0122
6_chess,chain02_datawig,10,0.2892 ± 0.0077
6_chess,chain02_datawig,11,0.2839 ± 0.0102
6_chess,chain02_datawig,12,0.2891 ± 0.0084
6_chess,chain02_datawig,13,0.2901 ± 0.0065
6_chess,chain02_datawig,14,0.2840 ± 0.0112
6_chess,chain02_datawig,15,0.2906 ± 0.0058
6_chess,chain02_datawig,16,0.2875 ± 0.0101
6_chess,chain02_datawig,17,0.2852 ± 0.0083
6_chess,chain02_datawig,18,0.2878 ± 0.0090
6_chess,chain02_datawig,19,0.2886 ± 0.0068
6_chess,chain02_datawig,20,0.2821 ± 0.0075
6_chess,chain02_datawig,21,0.2842 ± 0.0071
6_chess,chain02_datawig,22,0.2844 ± 0.0106
6_chess,chain02_datawig,23,0.2857 ± 0.0070
6_chess,chain02_datawig,24,0.2852 ± 0.0087
6_chess,chain02_datawig,25,0.2873 ± 0.0082
6_chess,chain02_datawig,26,0.2869 ± 0.0088
6_chess,chain02_datawig,27,0.2855 ± 0.0076
6_chess,chain02_datawig,28,0.2833 ± 0.0108
6_chess,chain02_datawig,29,0.2855 ± 0.0112
6_chess,chain02_datawig,30,0.2872 ± 0.0063
