Dataset,method,Experiment,RMSE
7_post,chain02_datawig,1,0.3503 ± 0.2196
7_post,chain02_datawig,2,0.3473 ± 0.2098
7_post,chain02_datawig,3,0.3677 ± 0.1194
7_post,chain02_datawig,4,0.5441 ± 0.2948
7_post,chain02_datawig,5,0.3448 ± 0.1637
7_post,chain02_datawig,6,0.4484 ± 0.2943
7_post,chain02_datawig,7,0.4195 ± 0.1885
7_post,chain02_datawig,8,0.4350 ± 0.1609
7_post,chain02_datawig,9,0.3727 ± 0.2417
7_post,chain02_datawig,10,0.4153 ± 0.1934
7_post,chain02_datawig,11,0.3626 ± 0.1447
7_post,chain02_datawig,12,0.3898 ± 0.1502
7_post,chain02_datawig,13,0.4684 ± 0.2358
7_post,chain02_datawig,14,0.4633 ± 0.2018
7_post,chain02_datawig,15,0.4404 ± 0.2335
7_post,chain02_datawig,16,0.3160 ± 0.1307
7_post,chain02_datawig,17,0.4924 ± 0.2746
7_post,chain02_datawig,18,0.3940 ± 0.1526
7_post,chain02_datawig,19,0.4385 ± 0.2405
7_post,chain02_datawig,20,0.3267 ± 0.1286
7_post,chain02_datawig,21,0.4001 ± 0.2618
7_post,chain02_datawig,22,0.4055 ± 0.1689
7_post,chain02_datawig,23,0.3463 ± 0.1780
7_post,chain02_datawig,24,0.5359 ± 0.2512
7_post,chain02_datawig,25,0.3684 ± 0.1440
7_post,chain02_datawig,26,0.4487 ± 0.2056
7_post,chain02_datawig,27,0.5260 ± 0.2662
7_post,chain02_datawig,28,0.4028 ± 0.2190
7_post,chain02_datawig,29,0.3711 ± 0.2228
7_post,chain02_datawig,30,0.5032 ± 0.2645
