Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
10_lympho,chain03_datawig,1,exclusion of no,0.19560054905058039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,chain03_datawig,1,regeneration of,0.06097972668188794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,chain03_datawig,1,early uptake in,0.47341138137916183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,chain03_datawig,1,lym.nodes dimin,0.11045033168737277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,chain03_datawig,1,bl. of lymph.s,0.4947868261622354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,chain03_datawig,1,dislocation of,0.5943505156023587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,chain03_datawig,1,bl. of lymph.c,0.3315142685239292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,chain03_datawig,1,block of affere,0.6067488077671306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,chain03_datawig,1,extravasates,0.5335411184035477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,chain03_datawig,1,by pass,0.3262722063423901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,chain03_datawig,1,changes in lym,0.29118104875331197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,chain03_datawig,1,special forms,0.39451727861715935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,chain03_datawig,1,defect in node,0.37310773065594305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,chain03_datawig,1,lymphatics,0.3271301382661554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
