Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
14_national,chain03_datawig,1,PAQ605,0.31652279649384446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,1,DIQ010,0.09482542891103109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,1,LBXGLU,0.049582783243585726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,1,RIAGENDR,0.564995415321418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,1,LBXGLT,0.07480371107793533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,1,LBXIN,0.13617673400873437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,1,BMXBMI,0.137575062779844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,1,RIDAGEYR,0.2586886717074857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,2,PAQ605,,0.2889848275048357,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,2,DIQ010,,0.07088740150343845,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,2,LBXGLU,,0.08609066276784604,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,2,RIAGENDR,,0.45658176440107573,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,2,LBXGLT,,0.10491221827919088,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,2,LBXIN,,0.09691147070613657,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,2,BMXBMI,,0.15075208833585715,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,2,RIDAGEYR,,0.2796052449620404,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,3,PAQ605,,,0.38711029899200156,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,3,DIQ010,,,0.08226154487076445,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,3,LBXGLU,,,0.06466367223080086,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,3,RIAGENDR,,,0.4699666465047167,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,3,LBXGLT,,,0.10760492685933658,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,3,LBXIN,,,0.12194974635785,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,3,BMXBMI,,,0.14839760744139216,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,3,RIDAGEYR,,,0.24722779876303666,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,4,PAQ605,,,,0.10396907174183476,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,4,DIQ010,,,,0.011609561649591498,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,4,LBXGLU,,,,0.07928577465603912,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,4,RIAGENDR,,,,0.5024248028550401,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,4,LBXGLT,,,,0.0722053485227399,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,4,LBXIN,,,,0.1482414834513812,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,4,BMXBMI,,,,0.1361967724833141,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,4,RIDAGEYR,,,,0.25544600489056046,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,5,PAQ605,,,,,0.34410232270377,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,5,DIQ010,,,,,0.11051501492785232,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,5,LBXGLU,,,,,0.09609060318737953,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,5,RIAGENDR,,,,,0.687527801321487,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,5,LBXGLT,,,,,0.14981396568603123,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,5,LBXIN,,,,,0.11368361318582838,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,5,BMXBMI,,,,,0.14585376154702726,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,5,RIDAGEYR,,,,,0.2624429453949715,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,6,PAQ605,,,,,,0.3916986836863706,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,6,DIQ010,,,,,,0.09327884951306942,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,6,LBXGLU,,,,,,0.07574941864186722,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,6,RIAGENDR,,,,,,0.6315211084752507,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,6,LBXGLT,,,,,,0.08322370899446896,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,6,LBXIN,,,,,,0.11735350534369017,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,6,BMXBMI,,,,,,0.1029707358795088,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,6,RIDAGEYR,,,,,,0.2604355548633023,,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,7,PAQ605,,,,,,,0.3250126727413847,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,7,DIQ010,,,,,,,0.2454307894564375,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,7,LBXGLU,,,,,,,0.06618560397833402,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,7,RIAGENDR,,,,,,,0.8507338160621991,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,7,LBXGLT,,,,,,,0.06963171414891903,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,7,LBXIN,,,,,,,0.22386413627722324,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,7,BMXBMI,,,,,,,0.15383264033046054,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,7,RIDAGEYR,,,,,,,0.2776333557092526,,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,8,PAQ605,,,,,,,,0.3825771122804079,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,8,DIQ010,,,,,,,,0.018005545000338293,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,8,LBXGLU,,,,,,,,0.10445278415335928,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,8,RIAGENDR,,,,,,,,0.5335870296833455,,,,,,,,,,,,,,,,,,,,,,
14_national,chain03_datawig,8,LBXGLT,,,,,,,,0.15077848507007724,,,,,,,,,,,,,,,,,,,,,,
