Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
16_rice,chain03_datawig,1,Eccentricity,0.12888991693259053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,1,Minor_Axis_Length,0.22420520137403055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,1,Area,0.15751488833314653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,1,Convex_Area,0.20323261601584733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,1,Perimeter,0.16026078577355943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,1,Major_Axis_Length,0.17836484857336485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,1,Extent,0.20308012376530396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,2,Eccentricity,,0.13953759629645093,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,2,Minor_Axis_Length,,0.11703890444819459,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,2,Area,,0.17006865141626076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,2,Convex_Area,,0.20234214218408145,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,2,Perimeter,,0.1922128652388512,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,2,Major_Axis_Length,,0.18791321689391602,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,2,Extent,,0.22392905620034906,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,3,Eccentricity,,,0.1374370408290925,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,3,Minor_Axis_Length,,,0.1478079567568305,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,3,Area,,,0.16620063485422815,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,3,Convex_Area,,,0.1985651617911404,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,3,Perimeter,,,0.19550382003289765,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,3,Major_Axis_Length,,,0.2050698164333035,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,3,Extent,,,0.18990939306139734,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,4,Eccentricity,,,,0.12519985849442347,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,4,Minor_Axis_Length,,,,0.1607042252782665,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,4,Area,,,,0.16179319361496605,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,4,Convex_Area,,,,0.16229395177370556,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,4,Perimeter,,,,0.1755576359307254,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,4,Major_Axis_Length,,,,0.15724117359367218,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,4,Extent,,,,0.19676230291177574,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,5,Eccentricity,,,,,0.15464039912710742,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,5,Minor_Axis_Length,,,,,0.14324600857469502,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,5,Area,,,,,0.13639975130711035,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,5,Convex_Area,,,,,0.15841992827629484,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,5,Perimeter,,,,,0.16548532522744933,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,5,Major_Axis_Length,,,,,0.1999428997479372,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,5,Extent,,,,,0.21197936237081744,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,6,Eccentricity,,,,,,0.13432763478504717,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,6,Minor_Axis_Length,,,,,,0.17779478702368975,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,6,Area,,,,,,0.1630178859828525,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,6,Convex_Area,,,,,,0.16637457272880826,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,6,Perimeter,,,,,,0.1658384234798587,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,6,Major_Axis_Length,,,,,,0.17588197903281313,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,6,Extent,,,,,,0.18354051272267882,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,7,Eccentricity,,,,,,,0.11884668343311366,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,7,Minor_Axis_Length,,,,,,,0.12676560736433565,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,7,Area,,,,,,,0.14976855961319097,,,,,,,,,,,,,,,,,,,,,,,
16_rice,chain03_datawig,7,Convex_Area,,,,,,,0.17071990475672832,,,,,,,,,,,,,,,,,,,,,,,
