Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
18_maternal,chain03_datawig,1,HeartRate,0.22465314337989625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain03_datawig,1,BodyTemp,0.2857465986823123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain03_datawig,1,BS,0.22245200623940306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain03_datawig,1,SystolicBP,0.30093277085100506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain03_datawig,1,Age,0.2514965858249079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain03_datawig,1,DiastolicBP,0.2644012179273225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain03_datawig,2,HeartRate,,0.21914023179886877,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain03_datawig,2,BodyTemp,,0.1372574084048752,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain03_datawig,2,BS,,0.2029005811708615,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain03_datawig,2,SystolicBP,,0.3109955592515325,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain03_datawig,2,Age,,0.2520520784431201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain03_datawig,2,DiastolicBP,,0.282668176941237,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain03_datawig,3,HeartRate,,,0.7045494403332446,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain03_datawig,3,BodyTemp,,,0.3174939514623741,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain03_datawig,3,BS,,,0.2236205542013944,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain03_datawig,3,SystolicBP,,,0.29282862680778776,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain03_datawig,3,Age,,,0.21333868336048983,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain03_datawig,3,DiastolicBP,,,0.2498078281159691,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain03_datawig,4,HeartRate,,,,0.21713536376006778,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain03_datawig,4,BodyTemp,,,,0.23909123882749223,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain03_datawig,4,BS,,,,0.3007128000680145,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain03_datawig,4,SystolicBP,,,,0.21158307280812857,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain03_datawig,4,Age,,,,0.24852800383739634,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain03_datawig,4,DiastolicBP,,,,0.2684190872327355,,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain03_datawig,5,HeartRate,,,,,0.2097503206068155,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain03_datawig,5,BodyTemp,,,,,0.18748004645695363,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain03_datawig,5,BS,,,,,0.18333767997054448,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain03_datawig,5,SystolicBP,,,,,0.20777402529529923,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain03_datawig,5,Age,,,,,0.22388973934238982,,,,,,,,,,,,,,,,,,,,,,,,,
18_maternal,chain03_datawig,5,DiastolicBP,,,,,0.23286063771301868,,,,,,,,,,,,,,,,,,,,,,,,,
