Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
19_contraceptive,chain03_datawig,1,wife religion,0.3083126738707416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,1,wife working,0.36032633047695667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,1,media,0.27169858404896846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,1,husband education,0.2534379878360383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,1,standard,0.23846044726084825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,1,wife education,0.33314790451462145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,1,number,0.19361340289802886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,1,husband occupation,0.2528600235985684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,1,age,0.2511551621169221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,2,wife religion,,0.36523022069630984,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,2,wife working,,0.3428461805538377,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,2,media,,0.20135383779059585,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,2,husband education,,0.25029449098109346,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,2,standard,,0.27277722472095656,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,2,wife education,,0.31306330709491587,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,2,number,,0.12558940813830263,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,2,husband occupation,,0.2773954508924827,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,2,age,,0.2360563236794054,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,3,wife religion,,,0.2742084291177177,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,3,wife working,,,0.39661195562521484,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,3,media,,,0.17255607048918617,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,3,husband education,,,0.23306925362490938,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,3,standard,,,0.2344327156043236,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,3,wife education,,,0.3256468302522741,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,3,number,,,0.1775838341406733,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,3,husband occupation,,,0.2704083011803785,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,3,age,,,0.24359100670239833,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,4,wife religion,,,,0.34098756930895296,,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,4,wife working,,,,0.3854154141696372,,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,4,media,,,,0.1988006375686826,,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,4,husband education,,,,0.21415071683454545,,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,4,standard,,,,0.26810849793836006,,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,4,wife education,,,,0.31701745175101625,,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,4,number,,,,0.1308503025871877,,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,4,husband occupation,,,,0.23516690201351345,,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,4,age,,,,0.259331617528184,,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,5,wife religion,,,,,0.3526919343296095,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,5,wife working,,,,,0.3604184598206608,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,5,media,,,,,0.19781433154208228,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,5,husband education,,,,,0.2225299636185721,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,5,standard,,,,,0.2676539265442331,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,5,wife education,,,,,0.34802959608317324,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,5,number,,,,,0.14073394204024106,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,5,husband occupation,,,,,0.2698626175277574,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,5,age,,,,,0.2828823114239976,,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,6,wife religion,,,,,,0.35551921909857853,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,6,wife working,,,,,,0.3722202295312421,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,6,media,,,,,,0.24955458820538526,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,6,husband education,,,,,,0.23107099094218908,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,6,standard,,,,,,0.3287225382641493,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,6,wife education,,,,,,0.331892264640181,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,6,number,,,,,,0.23878530736860595,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,6,husband occupation,,,,,,0.2363531860131584,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,6,age,,,,,,0.2206032530101534,,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,7,wife religion,,,,,,,0.32299911950584664,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,7,wife working,,,,,,,0.40015111046040225,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,7,media,,,,,,,0.2019208421763738,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,7,husband education,,,,,,,0.19071254230497406,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,7,standard,,,,,,,0.3077521516303123,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,7,wife education,,,,,,,0.31932503028608916,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,7,number,,,,,,,0.14622986182062234,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,7,husband occupation,,,,,,,0.2307524388285735,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,7,age,,,,,,,0.2733069980110987,,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,8,wife religion,,,,,,,,0.3248326786415742,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,8,wife working,,,,,,,,0.4023431377594669,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,8,media,,,,,,,,0.1968257014754505,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,8,husband education,,,,,,,,0.270117395171555,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,8,standard,,,,,,,,0.28059549591771793,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,8,wife education,,,,,,,,0.35365929535645796,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,8,number,,,,,,,,0.1610271284577062,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,8,husband occupation,,,,,,,,0.2538309192148593,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,8,age,,,,,,,,0.25391062559785355,,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,9,wife religion,,,,,,,,,0.34996321983802975,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,9,wife working,,,,,,,,,0.39060549303586267,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,9,media,,,,,,,,,0.2505408262806769,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,9,husband education,,,,,,,,,0.1988070913473668,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,9,standard,,,,,,,,,0.2616734377356436,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,9,wife education,,,,,,,,,0.29122424799161634,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,9,number,,,,,,,,,0.1456798354302652,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,9,husband occupation,,,,,,,,,0.25393110592808854,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,9,age,,,,,,,,,0.2770681175854998,,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,10,wife religion,,,,,,,,,,0.3763478153301081,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,10,wife working,,,,,,,,,,0.38416495157882513,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,10,media,,,,,,,,,,0.16523348256082715,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,10,husband education,,,,,,,,,,0.23502664537131163,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,10,standard,,,,,,,,,,0.281258426116596,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,10,wife education,,,,,,,,,,0.32752842841785607,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,10,number,,,,,,,,,,0.19245026670121573,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,10,husband occupation,,,,,,,,,,0.2570920658442115,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,10,age,,,,,,,,,,0.2410228722815979,,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,11,wife religion,,,,,,,,,,,0.33685069179273147,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,11,wife working,,,,,,,,,,,0.40889107813240333,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,11,media,,,,,,,,,,,0.1954128952461979,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,11,husband education,,,,,,,,,,,0.22181487487244358,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,11,standard,,,,,,,,,,,0.22012330862100496,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,11,wife education,,,,,,,,,,,0.3356764977371455,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,11,number,,,,,,,,,,,0.20448325388039754,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,11,husband occupation,,,,,,,,,,,0.23538913502681474,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,11,age,,,,,,,,,,,0.22411915341957842,,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,12,wife religion,,,,,,,,,,,,0.3789787993425274,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,12,wife working,,,,,,,,,,,,0.4662833715020142,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,12,media,,,,,,,,,,,,0.2711914203016146,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,12,husband education,,,,,,,,,,,,0.2076547898047296,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,12,standard,,,,,,,,,,,,0.2538536824546292,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,12,wife education,,,,,,,,,,,,0.3279361658960032,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,12,number,,,,,,,,,,,,0.17074384303896595,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,12,husband occupation,,,,,,,,,,,,0.24117894367430834,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,12,age,,,,,,,,,,,,0.23807212831822558,,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,13,wife religion,,,,,,,,,,,,,0.3091372750289648,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,13,wife working,,,,,,,,,,,,,0.42258432567006016,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,13,media,,,,,,,,,,,,,0.19680063280349006,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,13,husband education,,,,,,,,,,,,,0.2364517255118454,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,13,standard,,,,,,,,,,,,,0.3242919300980606,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,13,wife education,,,,,,,,,,,,,0.3692452597212561,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,13,number,,,,,,,,,,,,,0.11219370868714006,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,13,husband occupation,,,,,,,,,,,,,0.2546395743575056,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,13,age,,,,,,,,,,,,,0.26496461433465207,,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,14,wife religion,,,,,,,,,,,,,,0.2882199860393627,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,14,wife working,,,,,,,,,,,,,,0.39509766460381585,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,14,media,,,,,,,,,,,,,,0.24980096503342228,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,14,husband education,,,,,,,,,,,,,,0.23438470118392896,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,14,standard,,,,,,,,,,,,,,0.29079255697825496,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,14,wife education,,,,,,,,,,,,,,0.33354878392415704,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,14,number,,,,,,,,,,,,,,0.1693626563550204,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,14,husband occupation,,,,,,,,,,,,,,0.26203865016523087,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,14,age,,,,,,,,,,,,,,0.2321130822530802,,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,15,wife religion,,,,,,,,,,,,,,,0.19455271162184126,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,15,wife working,,,,,,,,,,,,,,,0.39519857311329337,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,15,media,,,,,,,,,,,,,,,0.12346007955974873,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,15,husband education,,,,,,,,,,,,,,,0.2346483407854671,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,15,standard,,,,,,,,,,,,,,,0.29498452139851616,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,15,wife education,,,,,,,,,,,,,,,0.33170398672994306,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,15,number,,,,,,,,,,,,,,,0.13132790936270092,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,15,husband occupation,,,,,,,,,,,,,,,0.2556431182367138,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,15,age,,,,,,,,,,,,,,,0.25446914815774485,,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,16,wife religion,,,,,,,,,,,,,,,,0.29102872856482725,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,16,wife working,,,,,,,,,,,,,,,,0.4226638677858268,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,16,media,,,,,,,,,,,,,,,,0.2719566944506206,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,16,husband education,,,,,,,,,,,,,,,,0.20413497473345776,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,16,standard,,,,,,,,,,,,,,,,0.3034051940842704,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,16,wife education,,,,,,,,,,,,,,,,0.3087805902144381,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,16,number,,,,,,,,,,,,,,,,0.20040189021086213,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,16,husband occupation,,,,,,,,,,,,,,,,0.27783071799520026,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,16,age,,,,,,,,,,,,,,,,0.24909920789732545,,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,17,wife religion,,,,,,,,,,,,,,,,,0.32206961912691845,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,17,wife working,,,,,,,,,,,,,,,,,0.3648286178039725,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,17,media,,,,,,,,,,,,,,,,,0.24860496376448757,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,17,husband education,,,,,,,,,,,,,,,,,0.29363798835694116,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,17,standard,,,,,,,,,,,,,,,,,0.2702767454608608,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,17,wife education,,,,,,,,,,,,,,,,,0.38879870240465497,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,17,number,,,,,,,,,,,,,,,,,0.1462083571833955,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,17,husband occupation,,,,,,,,,,,,,,,,,0.25219249188650383,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,17,age,,,,,,,,,,,,,,,,,0.2497365198831997,,,,,,,,,,,,,
19_contraceptive,chain03_datawig,18,wife religion,,,,,,,,,,,,,,,,,,0.3098463387655336,,,,,,,,,,,,
19_contraceptive,chain03_datawig,18,wife working,,,,,,,,,,,,,,,,,,0.40808302767193894,,,,,,,,,,,,
19_contraceptive,chain03_datawig,18,media,,,,,,,,,,,,,,,,,,0.27259649187260104,,,,,,,,,,,,
19_contraceptive,chain03_datawig,18,husband education,,,,,,,,,,,,,,,,,,0.2935611562315949,,,,,,,,,,,,
19_contraceptive,chain03_datawig,18,standard,,,,,,,,,,,,,,,,,,0.28653881457662855,,,,,,,,,,,,
19_contraceptive,chain03_datawig,18,wife education,,,,,,,,,,,,,,,,,,0.30257328008728596,,,,,,,,,,,,
19_contraceptive,chain03_datawig,18,number,,,,,,,,,,,,,,,,,,0.15761756598605453,,,,,,,,,,,,
19_contraceptive,chain03_datawig,18,husband occupation,,,,,,,,,,,,,,,,,,0.26296520630030124,,,,,,,,,,,,
19_contraceptive,chain03_datawig,18,age,,,,,,,,,,,,,,,,,,0.2569606999636782,,,,,,,,,,,,
19_contraceptive,chain03_datawig,19,wife religion,,,,,,,,,,,,,,,,,,,0.3513883131462665,,,,,,,,,,,
