Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
28_haberman,chain03_datawig,1,positive,0.13529496217171877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain03_datawig,1,age,0.18237435921112183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain03_datawig,1,oper,0.29455032145313226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain03_datawig,2,positive,,0.14954119924781684,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain03_datawig,2,age,,0.12363674192565677,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain03_datawig,2,oper,,0.1920996117590921,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain03_datawig,3,positive,,,0.21513144678728555,,,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain03_datawig,3,age,,,0.1621223478670829,,,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain03_datawig,3,oper,,,0.2706419798943788,,,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain03_datawig,4,positive,,,,0.05092818924374976,,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain03_datawig,4,age,,,,0.15489556670060797,,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain03_datawig,4,oper,,,,0.29280242780236587,,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain03_datawig,5,positive,,,,,0.05205660427075264,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain03_datawig,5,age,,,,,0.1738716486042002,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain03_datawig,5,oper,,,,,0.26732647403112236,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain03_datawig,6,positive,,,,,,0.28463095898252394,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain03_datawig,6,age,,,,,,0.12881623057276712,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain03_datawig,6,oper,,,,,,0.3309669909862158,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain03_datawig,7,positive,,,,,,,0.06784928588631407,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain03_datawig,7,age,,,,,,,0.16581485234280896,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain03_datawig,7,oper,,,,,,,0.3766250251844594,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain03_datawig,8,positive,,,,,,,,0.1806174641332854,,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain03_datawig,8,age,,,,,,,,0.17130798369803857,,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain03_datawig,8,oper,,,,,,,,0.2992364594963585,,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain03_datawig,9,positive,,,,,,,,,0.30029966106745226,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain03_datawig,9,age,,,,,,,,,0.1823344308987791,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain03_datawig,9,oper,,,,,,,,,0.3856519323717927,,,,,,,,,,,,,,,,,,,,,
28_haberman,chain03_datawig,10,positive,,,,,,,,,,0.1658306383852792,,,,,,,,,,,,,,,,,,,,
28_haberman,chain03_datawig,10,age,,,,,,,,,,0.21129915253193088,,,,,,,,,,,,,,,,,,,,
28_haberman,chain03_datawig,10,oper,,,,,,,,,,0.2267523407276046,,,,,,,,,,,,,,,,,,,,
28_haberman,chain03_datawig,11,positive,,,,,,,,,,,0.1955388378808936,,,,,,,,,,,,,,,,,,,
28_haberman,chain03_datawig,11,age,,,,,,,,,,,0.14824398420530374,,,,,,,,,,,,,,,,,,,
28_haberman,chain03_datawig,11,oper,,,,,,,,,,,0.2604732504154207,,,,,,,,,,,,,,,,,,,
28_haberman,chain03_datawig,12,positive,,,,,,,,,,,,0.05893054831412924,,,,,,,,,,,,,,,,,,
