Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
33_thoracic,chain03_datawig,1,PRE30,0.2610380521496442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,1,PRE19,0.845738793678239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,1,PRE32,0.8363722281706218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,1,PRE25,0.20228896281512984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,1,PRE11,0.39748647937139686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,1,PRE8,0.2060788432740482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,1,PRE10,0.2160104625118822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,1,PRE17,0.23035754665971717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,1,PRE9,0.25927188015605634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,1,PRE6,0.01996286467818398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,1,PRE12,0.30946802354862857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,1,age,0.14916254041859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,1,PRE5,0.13614030333502944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,2,PRE30,,0.3132519466301541,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,2,PRE19,,0.6610130036660976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,2,PRE32,,0.17460781707124995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,2,PRE25,,0.20253431545185044,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,2,PRE11,,0.5119704494177484,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,2,PRE8,,0.2869338975123281,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,2,PRE10,,0.355840189899013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,2,PRE17,,0.21149165477422324,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,2,PRE9,,0.5049029177792672,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,2,PRE6,,0.043123466000172674,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,2,PRE12,,0.35572666596921276,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,2,age,,0.16433067560997852,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,2,PRE5,,0.14013471458944862,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,3,PRE30,,,0.20035201584344414,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,3,PRE19,,,0.003944042309952434,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,3,PRE32,,,0.29270929632208614,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,3,PRE25,,,0.3670400832067755,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,3,PRE11,,,0.45056270800785747,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,3,PRE8,,,0.211877712407498,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,3,PRE10,,,0.09657826350490445,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,3,PRE17,,,0.2873743199840406,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,3,PRE9,,,0.3908897389798451,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,3,PRE6,,,0.17054858781008958,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,3,PRE12,,,0.30872896300914066,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,3,age,,,0.2131962604464074,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,3,PRE5,,,0.170147225023884,,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,4,PRE30,,,,0.31161669010270426,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,4,PRE19,,,,0.9090167629947239,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,4,PRE32,,,,0.7996484053481926,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,4,PRE25,,,,0.2027676248285184,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,4,PRE11,,,,0.5041249473219891,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,4,PRE8,,,,0.27823036331774664,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,4,PRE10,,,,0.20584828224107968,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,4,PRE17,,,,0.33791963507195333,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,4,PRE9,,,,0.21235925355133145,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,4,PRE6,,,,0.17618962087431148,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,4,PRE12,,,,0.24627261420081034,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,4,age,,,,0.18986014765618667,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,4,PRE5,,,,0.1968135067073798,,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,5,PRE30,,,,,0.35296318471220334,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,5,PRE19,,,,,0.6641083009922323,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,5,PRE32,,,,,0.8638107788891113,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,5,PRE25,,,,,0.746061982712672,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,5,PRE11,,,,,0.4791884012450334,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,5,PRE8,,,,,0.2032896321481025,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,5,PRE10,,,,,0.20370945364025292,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,5,PRE17,,,,,0.3407034796446385,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,5,PRE9,,,,,0.2856108940907077,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,5,PRE6,,,,,0.03745734531206142,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,5,PRE12,,,,,0.3868897937386918,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,5,age,,,,,0.14151329167149496,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,5,PRE5,,,,,0.1909838006744711,,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,6,PRE30,,,,,,0.3221145365992925,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,6,PRE19,,,,,,1.790064613624774,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,6,PRE32,,,,,,0.7026032714260866,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,6,PRE25,,,,,,0.02433802658932082,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,6,PRE11,,,,,,0.4461688911899848,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,6,PRE8,,,,,,0.21091880315987308,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,6,PRE10,,,,,,0.20874619276491416,,,,,,,,,,,,,,,,,,,,,,,,
33_thoracic,chain03_datawig,6,PRE17,,,,,,0.3031578061138614,,,,,,,,,,,,,,,,,,,,,,,,
