Dataset,method,Experiment,RMSE
14_national,chain03_datawig,1,0.2041 ± 0.1721
14_national,chain03_datawig,2,0.1918 ± 0.1370
14_national,chain03_datawig,3,0.2036 ± 0.1509
14_national,chain03_datawig,4,0.1637 ± 0.1542
14_national,chain03_datawig,5,0.2388 ± 0.2007
14_national,chain03_datawig,6,0.2195 ± 0.2001
14_national,chain03_datawig,7,0.2765 ± 0.2501
14_national,chain03_datawig,8,0.2146 ± 0.1727
14_national,chain03_datawig,9,0.2077 ± 0.1611
14_national,chain03_datawig,10,0.2468 ± 0.2289
14_national,chain03_datawig,11,0.1924 ± 0.1445
14_national,chain03_datawig,12,0.1559 ± 0.1307
14_national,chain03_datawig,13,0.2054 ± 0.1564
14_national,chain03_datawig,14,0.1594 ± 0.1446
14_national,chain03_datawig,15,0.2236 ± 0.1572
14_national,chain03_datawig,16,0.2125 ± 0.1340
14_national,chain03_datawig,17,0.1537 ± 0.1282
14_national,chain03_datawig,18,0.2067 ± 0.1380
14_national,chain03_datawig,19,0.1797 ± 0.1558
14_national,chain03_datawig,20,0.2005 ± 0.1443
14_national,chain03_datawig,21,0.1899 ± 0.1450
14_national,chain03_datawig,22,0.2134 ± 0.1418
14_national,chain03_datawig,23,0.1607 ± 0.1442
14_national,chain03_datawig,24,0.1868 ± 0.1516
14_national,chain03_datawig,25,0.2100 ± 0.1668
14_national,chain03_datawig,26,0.2199 ± 0.2821
14_national,chain03_datawig,27,0.2132 ± 0.1515
14_national,chain03_datawig,28,0.2272 ± 0.1547
14_national,chain03_datawig,29,0.2310 ± 0.1894
14_national,chain03_datawig,30,0.1875 ± 0.1521
