Dataset,method,Experiment,RMSE
15_magic,chain03_datawig,1,0.1384 ± 0.0625
15_magic,chain03_datawig,2,0.1347 ± 0.0623
15_magic,chain03_datawig,3,0.1374 ± 0.0571
15_magic,chain03_datawig,4,0.1332 ± 0.0612
15_magic,chain03_datawig,5,0.1325 ± 0.0637
15_magic,chain03_datawig,6,0.1376 ± 0.0628
15_magic,chain03_datawig,7,0.1379 ± 0.0590
15_magic,chain03_datawig,8,0.1383 ± 0.0621
15_magic,chain03_datawig,9,0.1295 ± 0.0626
15_magic,chain03_datawig,10,0.1341 ± 0.0629
15_magic,chain03_datawig,11,0.1332 ± 0.0624
15_magic,chain03_datawig,12,0.1286 ± 0.0707
15_magic,chain03_datawig,13,0.1312 ± 0.0654
15_magic,chain03_datawig,14,0.1339 ± 0.0616
15_magic,chain03_datawig,15,0.1341 ± 0.0639
15_magic,chain03_datawig,16,0.1361 ± 0.0594
15_magic,chain03_datawig,17,0.1344 ± 0.0671
15_magic,chain03_datawig,18,0.1300 ± 0.0665
15_magic,chain03_datawig,19,0.1320 ± 0.0656
15_magic,chain03_datawig,20,0.1840 ± 0.1558
15_magic,chain03_datawig,21,0.1331 ± 0.0606
15_magic,chain03_datawig,22,0.1300 ± 0.0674
15_magic,chain03_datawig,23,0.1404 ± 0.0577
15_magic,chain03_datawig,24,0.1363 ± 0.0592
15_magic,chain03_datawig,25,0.1290 ± 0.0646
15_magic,chain03_datawig,26,0.1327 ± 0.0603
15_magic,chain03_datawig,27,0.1354 ± 0.0625
15_magic,chain03_datawig,28,0.1367 ± 0.0605
15_magic,chain03_datawig,29,0.1317 ± 0.0597
15_magic,chain03_datawig,30,0.1314 ± 0.0661
