Dataset,method,Experiment,RMSE
16_rice,chain03_datawig,1,0.1794 ± 0.0330
16_rice,chain03_datawig,2,0.1761 ± 0.0371
16_rice,chain03_datawig,3,0.1772 ± 0.0268
16_rice,chain03_datawig,4,0.1628 ± 0.0215
16_rice,chain03_datawig,5,0.1672 ± 0.0284
16_rice,chain03_datawig,6,0.1667 ± 0.0161
16_rice,chain03_datawig,7,0.1657 ± 0.0358
16_rice,chain03_datawig,8,0.1756 ± 0.0209
16_rice,chain03_datawig,9,0.1722 ± 0.0276
16_rice,chain03_datawig,10,0.1782 ± 0.0223
16_rice,chain03_datawig,11,0.1697 ± 0.0351
16_rice,chain03_datawig,12,0.1672 ± 0.0417
16_rice,chain03_datawig,13,0.1676 ± 0.0408
16_rice,chain03_datawig,14,0.1693 ± 0.0297
16_rice,chain03_datawig,15,0.1680 ± 0.0256
16_rice,chain03_datawig,16,0.1767 ± 0.0281
16_rice,chain03_datawig,17,0.1769 ± 0.0390
16_rice,chain03_datawig,18,0.1784 ± 0.0295
16_rice,chain03_datawig,19,0.1811 ± 0.0313
16_rice,chain03_datawig,20,0.1645 ± 0.0340
16_rice,chain03_datawig,21,0.1633 ± 0.0320
16_rice,chain03_datawig,22,0.1797 ± 0.0232
16_rice,chain03_datawig,23,0.1722 ± 0.0340
16_rice,chain03_datawig,24,0.1839 ± 0.0302
16_rice,chain03_datawig,25,0.1635 ± 0.0402
16_rice,chain03_datawig,26,0.1641 ± 0.0345
16_rice,chain03_datawig,27,0.1754 ± 0.0260
16_rice,chain03_datawig,28,0.1754 ± 0.0275
16_rice,chain03_datawig,29,0.1734 ± 0.0208
16_rice,chain03_datawig,30,0.1761 ± 0.0339
