Dataset,method,Experiment,RMSE
20_obesity,chain03_datawig,1,0.2545 ± 0.1086
20_obesity,chain03_datawig,2,0.2257 ± 0.1047
20_obesity,chain03_datawig,3,0.2342 ± 0.1043
20_obesity,chain03_datawig,4,0.2415 ± 0.0971
20_obesity,chain03_datawig,5,0.2348 ± 0.0956
20_obesity,chain03_datawig,6,0.2454 ± 0.1107
20_obesity,chain03_datawig,7,0.2467 ± 0.1068
20_obesity,chain03_datawig,8,0.2398 ± 0.1048
20_obesity,chain03_datawig,9,0.2418 ± 0.0810
20_obesity,chain03_datawig,10,0.2549 ± 0.0825
20_obesity,chain03_datawig,11,0.2381 ± 0.0912
20_obesity,chain03_datawig,12,0.2468 ± 0.1029
20_obesity,chain03_datawig,13,0.2283 ± 0.0942
20_obesity,chain03_datawig,14,0.2327 ± 0.0916
20_obesity,chain03_datawig,15,0.2466 ± 0.0874
20_obesity,chain03_datawig,16,0.2377 ± 0.0973
20_obesity,chain03_datawig,17,0.2468 ± 0.1049
20_obesity,chain03_datawig,18,0.2621 ± 0.1100
20_obesity,chain03_datawig,19,0.2432 ± 0.0967
20_obesity,chain03_datawig,20,0.2555 ± 0.1018
20_obesity,chain03_datawig,21,0.2593 ± 0.0865
20_obesity,chain03_datawig,22,0.2329 ± 0.0999
20_obesity,chain03_datawig,23,0.2434 ± 0.0972
20_obesity,chain03_datawig,24,0.2370 ± 0.1026
20_obesity,chain03_datawig,25,0.2255 ± 0.1039
20_obesity,chain03_datawig,26,0.2374 ± 0.0915
20_obesity,chain03_datawig,27,0.2419 ± 0.1040
20_obesity,chain03_datawig,28,0.2574 ± 0.1043
20_obesity,chain03_datawig,29,0.2324 ± 0.1071
20_obesity,chain03_datawig,30,0.2337 ± 0.0813
