Dataset,method,Experiment,RMSE
21_yeast,chain03_datawig,1,0.0889 ± 0.0558
21_yeast,chain03_datawig,2,0.1293 ± 0.0739
21_yeast,chain03_datawig,3,0.1191 ± 0.0688
21_yeast,chain03_datawig,4,0.1188 ± 0.0278
21_yeast,chain03_datawig,5,0.1301 ± 0.0400
21_yeast,chain03_datawig,6,0.1238 ± 0.0526
21_yeast,chain03_datawig,7,0.1350 ± 0.0293
21_yeast,chain03_datawig,8,0.2520 ± 0.2582
21_yeast,chain03_datawig,9,0.0936 ± 0.0595
21_yeast,chain03_datawig,10,0.1252 ± 0.0374
21_yeast,chain03_datawig,11,0.1090 ± 0.0477
21_yeast,chain03_datawig,12,0.1088 ± 0.0545
21_yeast,chain03_datawig,13,0.1062 ± 0.0702
21_yeast,chain03_datawig,14,0.1405 ± 0.0308
21_yeast,chain03_datawig,15,0.1140 ± 0.0679
21_yeast,chain03_datawig,16,0.1108 ± 0.0693
21_yeast,chain03_datawig,17,0.2336 ± 0.2862
21_yeast,chain03_datawig,18,0.1188 ± 0.0491
21_yeast,chain03_datawig,19,0.1201 ± 0.0539
21_yeast,chain03_datawig,20,0.1125 ± 0.0561
21_yeast,chain03_datawig,21,0.1265 ± 0.0441
21_yeast,chain03_datawig,22,0.1162 ± 0.0453
21_yeast,chain03_datawig,23,0.1449 ± 0.0454
21_yeast,chain03_datawig,24,0.1243 ± 0.0829
21_yeast,chain03_datawig,25,0.1006 ± 0.0567
21_yeast,chain03_datawig,26,0.1031 ± 0.0652
21_yeast,chain03_datawig,27,0.1249 ± 0.0635
21_yeast,chain03_datawig,28,0.2005 ± 0.2479
21_yeast,chain03_datawig,29,0.3238 ± 0.5519
21_yeast,chain03_datawig,30,0.1193 ± 0.0513
