Dataset,method,Experiment,RMSE
27_wholesale,chain03_datawig,1,0.1295 ± 0.0611
27_wholesale,chain03_datawig,2,0.1352 ± 0.0335
27_wholesale,chain03_datawig,3,0.1660 ± 0.0650
27_wholesale,chain03_datawig,4,0.1751 ± 0.1028
27_wholesale,chain03_datawig,5,0.1403 ± 0.0843
27_wholesale,chain03_datawig,6,0.1206 ± 0.0397
27_wholesale,chain03_datawig,7,0.1280 ± 0.1034
27_wholesale,chain03_datawig,8,0.1745 ± 0.0599
27_wholesale,chain03_datawig,9,0.2090 ± 0.0631
27_wholesale,chain03_datawig,10,0.1428 ± 0.0624
27_wholesale,chain03_datawig,11,0.1249 ± 0.0646
27_wholesale,chain03_datawig,12,0.2001 ± 0.0868
27_wholesale,chain03_datawig,13,0.1456 ± 0.1083
27_wholesale,chain03_datawig,14,0.0744 ± 0.0379
27_wholesale,chain03_datawig,15,0.1412 ± 0.1495
27_wholesale,chain03_datawig,16,0.1387 ± 0.0277
27_wholesale,chain03_datawig,17,0.2219 ± 0.1149
27_wholesale,chain03_datawig,18,0.2030 ± 0.0900
27_wholesale,chain03_datawig,19,0.0893 ± 0.0627
27_wholesale,chain03_datawig,20,0.1281 ± 0.0449
27_wholesale,chain03_datawig,21,0.1174 ± 0.0332
27_wholesale,chain03_datawig,22,0.1228 ± 0.0881
27_wholesale,chain03_datawig,23,0.1159 ± 0.0579
27_wholesale,chain03_datawig,24,0.1242 ± 0.0888
27_wholesale,chain03_datawig,25,0.1328 ± 0.0427
27_wholesale,chain03_datawig,26,0.1250 ± 0.0442
27_wholesale,chain03_datawig,27,0.1195 ± 0.0494
27_wholesale,chain03_datawig,28,0.1234 ± 0.0673
27_wholesale,chain03_datawig,29,0.0868 ± 0.0339
27_wholesale,chain03_datawig,30,0.0707 ± 0.0167
