Dataset,method,Experiment,RMSE
28_haberman,chain03_datawig,1,0.2041 ± 0.0818
28_haberman,chain03_datawig,2,0.1551 ± 0.0346
28_haberman,chain03_datawig,3,0.2160 ± 0.0543
28_haberman,chain03_datawig,4,0.1662 ± 0.1213
28_haberman,chain03_datawig,5,0.1644 ± 0.1079
28_haberman,chain03_datawig,6,0.2481 ± 0.1059
28_haberman,chain03_datawig,7,0.2034 ± 0.1578
28_haberman,chain03_datawig,8,0.2171 ± 0.0713
28_haberman,chain03_datawig,9,0.2894 ± 0.1021
28_haberman,chain03_datawig,10,0.2013 ± 0.0317
28_haberman,chain03_datawig,11,0.2014 ± 0.0563
28_haberman,chain03_datawig,12,0.1697 ± 0.1199
28_haberman,chain03_datawig,13,0.2698 ± 0.0917
28_haberman,chain03_datawig,14,0.2224 ± 0.1752
28_haberman,chain03_datawig,15,0.1734 ± 0.0617
28_haberman,chain03_datawig,16,0.2390 ± 0.0734
28_haberman,chain03_datawig,17,0.1805 ± 0.0634
28_haberman,chain03_datawig,18,0.2217 ± 0.0967
28_haberman,chain03_datawig,19,0.2267 ± 0.0123
28_haberman,chain03_datawig,20,0.2022 ± 0.0986
28_haberman,chain03_datawig,21,0.1968 ± 0.1032
28_haberman,chain03_datawig,22,0.2022 ± 0.1283
28_haberman,chain03_datawig,23,0.1804 ± 0.1180
28_haberman,chain03_datawig,24,0.2108 ± 0.0930
28_haberman,chain03_datawig,25,0.1873 ± 0.1113
28_haberman,chain03_datawig,26,0.2075 ± 0.0299
28_haberman,chain03_datawig,27,0.2217 ± 0.1266
28_haberman,chain03_datawig,28,0.2080 ± 0.0736
28_haberman,chain03_datawig,29,0.2394 ± 0.0692
28_haberman,chain03_datawig,30,0.1895 ± 0.0858
