Dataset,method,Experiment,RMSE
29_echocardiogram,chain03_datawig,1,0.2701 ± 0.1421
29_echocardiogram,chain03_datawig,2,0.2606 ± 0.1294
29_echocardiogram,chain03_datawig,3,0.3542 ± 0.1353
29_echocardiogram,chain03_datawig,4,0.2978 ± 0.1557
29_echocardiogram,chain03_datawig,5,0.3182 ± 0.1363
29_echocardiogram,chain03_datawig,6,0.3328 ± 0.1617
29_echocardiogram,chain03_datawig,7,0.3265 ± 0.1096
29_echocardiogram,chain03_datawig,8,0.3571 ± 0.2470
29_echocardiogram,chain03_datawig,9,0.2796 ± 0.1090
29_echocardiogram,chain03_datawig,10,0.4010 ± 0.1981
29_echocardiogram,chain03_datawig,11,0.2784 ± 0.1563
29_echocardiogram,chain03_datawig,12,0.2683 ± 0.1481
29_echocardiogram,chain03_datawig,13,0.3179 ± 0.1608
29_echocardiogram,chain03_datawig,14,0.2944 ± 0.0799
29_echocardiogram,chain03_datawig,15,0.2780 ± 0.1185
29_echocardiogram,chain03_datawig,16,0.3768 ± 0.1822
29_echocardiogram,chain03_datawig,17,0.3241 ± 0.1260
29_echocardiogram,chain03_datawig,18,0.3427 ± 0.1511
29_echocardiogram,chain03_datawig,19,0.2923 ± 0.0876
29_echocardiogram,chain03_datawig,20,0.3303 ± 0.1109
29_echocardiogram,chain03_datawig,21,0.3214 ± 0.1576
29_echocardiogram,chain03_datawig,22,0.2717 ± 0.1143
29_echocardiogram,chain03_datawig,23,0.3222 ± 0.1316
29_echocardiogram,chain03_datawig,24,0.3138 ± 0.1615
29_echocardiogram,chain03_datawig,25,0.2961 ± 0.1659
29_echocardiogram,chain03_datawig,26,0.3328 ± 0.1813
29_echocardiogram,chain03_datawig,27,0.3569 ± 0.1328
29_echocardiogram,chain03_datawig,28,0.3420 ± 0.1551
29_echocardiogram,chain03_datawig,29,0.2590 ± 0.1263
29_echocardiogram,chain03_datawig,30,0.2852 ± 0.1381
