Dataset,method,Experiment,RMSE
30_monk,chain03_datawig,1,0.3858 ± 0.0529
30_monk,chain03_datawig,2,0.3987 ± 0.0845
30_monk,chain03_datawig,3,0.3745 ± 0.0420
30_monk,chain03_datawig,4,0.3877 ± 0.0721
30_monk,chain03_datawig,5,0.3739 ± 0.0730
30_monk,chain03_datawig,6,0.3926 ± 0.0588
30_monk,chain03_datawig,7,0.3796 ± 0.0575
30_monk,chain03_datawig,8,0.3694 ± 0.0511
30_monk,chain03_datawig,9,0.3873 ± 0.0624
30_monk,chain03_datawig,10,0.3812 ± 0.0854
30_monk,chain03_datawig,11,0.3907 ± 0.0517
30_monk,chain03_datawig,12,0.3712 ± 0.0547
30_monk,chain03_datawig,13,0.3792 ± 0.0774
30_monk,chain03_datawig,14,0.3710 ± 0.0550
30_monk,chain03_datawig,15,0.3998 ± 0.0390
30_monk,chain03_datawig,16,0.3710 ± 0.0535
30_monk,chain03_datawig,17,0.4019 ± 0.0485
30_monk,chain03_datawig,18,0.3483 ± 0.0711
30_monk,chain03_datawig,19,0.3560 ± 0.0837
30_monk,chain03_datawig,20,0.3554 ± 0.0465
30_monk,chain03_datawig,21,0.3672 ± 0.0596
30_monk,chain03_datawig,22,0.3653 ± 0.0666
30_monk,chain03_datawig,23,0.3650 ± 0.0443
30_monk,chain03_datawig,24,0.3808 ± 0.0806
30_monk,chain03_datawig,25,0.3597 ± 0.0582
30_monk,chain03_datawig,26,0.3799 ± 0.0544
30_monk,chain03_datawig,27,0.3843 ± 0.0450
30_monk,chain03_datawig,28,0.3711 ± 0.0711
30_monk,chain03_datawig,29,0.3784 ± 0.0437
30_monk,chain03_datawig,30,0.3819 ± 0.0539
