Dataset,method,Experiment,RMSE
3_adult,chain03_datawig,1,0.1914 ± 0.1025
3_adult,chain03_datawig,2,0.2051 ± 0.1135
3_adult,chain03_datawig,3,0.1940 ± 0.0919
3_adult,chain03_datawig,4,0.1907 ± 0.0941
3_adult,chain03_datawig,5,0.1921 ± 0.1008
3_adult,chain03_datawig,6,0.1911 ± 0.1002
3_adult,chain03_datawig,7,0.1923 ± 0.1042
3_adult,chain03_datawig,8,0.2038 ± 0.1122
3_adult,chain03_datawig,9,0.1904 ± 0.0958
3_adult,chain03_datawig,10,0.1902 ± 0.0929
3_adult,chain03_datawig,11,0.1904 ± 0.0982
3_adult,chain03_datawig,12,0.1917 ± 0.0980
3_adult,chain03_datawig,13,0.1882 ± 0.0978
3_adult,chain03_datawig,14,0.1878 ± 0.0992
3_adult,chain03_datawig,15,0.1910 ± 0.0945
3_adult,chain03_datawig,16,0.2002 ± 0.1217
3_adult,chain03_datawig,17,0.1928 ± 0.0931
3_adult,chain03_datawig,18,0.2089 ± 0.1417
3_adult,chain03_datawig,19,0.2021 ± 0.1339
3_adult,chain03_datawig,20,0.1959 ± 0.1158
3_adult,chain03_datawig,21,0.1964 ± 0.0945
3_adult,chain03_datawig,22,0.1927 ± 0.0953
3_adult,chain03_datawig,23,0.1881 ± 0.1003
3_adult,chain03_datawig,24,0.1926 ± 0.1052
3_adult,chain03_datawig,25,0.1910 ± 0.0936
3_adult,chain03_datawig,26,0.1982 ± 0.0942
3_adult,chain03_datawig,27,0.1988 ± 0.1012
3_adult,chain03_datawig,28,0.1925 ± 0.0996
3_adult,chain03_datawig,29,0.2269 ± 0.1588
3_adult,chain03_datawig,30,0.1903 ± 0.0985
