Dataset,method,Experiment,RMSE
11_iris,up_chain03_datawig,1,0.3097 ± 0.1299
11_iris,up_chain03_datawig,2,0.2194 ± 0.1640
11_iris,up_chain03_datawig,3,0.2753 ± 0.1186
11_iris,up_chain03_datawig,4,0.3504 ± 0.1298
11_iris,up_chain03_datawig,5,0.4063 ± 0.1855
11_iris,up_chain03_datawig,6,0.2612 ± 0.0428
11_iris,up_chain03_datawig,7,0.2691 ± 0.0328
11_iris,up_chain03_datawig,8,0.2709 ± 0.1035
11_iris,up_chain03_datawig,9,0.2293 ± 0.0950
11_iris,up_chain03_datawig,10,0.3072 ± 0.1070
11_iris,up_chain03_datawig,11,0.3247 ± 0.0844
11_iris,up_chain03_datawig,12,0.2143 ± 0.1130
11_iris,up_chain03_datawig,13,0.3445 ± 0.0767
11_iris,up_chain03_datawig,14,0.2058 ± 0.1274
11_iris,up_chain03_datawig,15,0.4040 ± 0.1056
11_iris,up_chain03_datawig,16,0.2549 ± 0.0553
11_iris,up_chain03_datawig,17,0.2322 ± 0.0866
11_iris,up_chain03_datawig,18,0.2344 ± 0.0314
11_iris,up_chain03_datawig,19,0.3283 ± 0.0847
11_iris,up_chain03_datawig,20,0.2372 ± 0.0305
11_iris,up_chain03_datawig,21,0.2701 ± 0.0781
11_iris,up_chain03_datawig,22,0.2677 ± 0.0921
11_iris,up_chain03_datawig,23,0.3150 ± 0.0680
11_iris,up_chain03_datawig,24,0.3470 ± 0.0579
11_iris,up_chain03_datawig,25,0.3067 ± 0.1278
11_iris,up_chain03_datawig,26,0.2731 ± 0.0919
11_iris,up_chain03_datawig,27,0.3086 ± 0.0462
11_iris,up_chain03_datawig,28,0.2538 ± 0.1146
11_iris,up_chain03_datawig,29,0.2137 ± 0.0709
11_iris,up_chain03_datawig,30,0.3142 ± 0.0536
