Dataset,method,Experiment,RMSE
15_magic,up_chain03_datawig,1,0.1393 ± 0.0623
15_magic,up_chain03_datawig,2,0.1334 ± 0.0637
15_magic,up_chain03_datawig,3,0.1339 ± 0.0595
15_magic,up_chain03_datawig,4,0.1319 ± 0.0587
15_magic,up_chain03_datawig,5,0.1330 ± 0.0634
15_magic,up_chain03_datawig,6,0.1367 ± 0.0631
15_magic,up_chain03_datawig,7,0.1358 ± 0.0586
15_magic,up_chain03_datawig,8,0.1382 ± 0.0620
15_magic,up_chain03_datawig,9,0.1330 ± 0.0588
15_magic,up_chain03_datawig,10,0.1387 ± 0.0583
15_magic,up_chain03_datawig,11,0.1343 ± 0.0614
15_magic,up_chain03_datawig,12,0.1269 ± 0.0680
15_magic,up_chain03_datawig,13,0.1292 ± 0.0660
15_magic,up_chain03_datawig,14,0.1342 ± 0.0605
15_magic,up_chain03_datawig,15,0.1334 ± 0.0632
15_magic,up_chain03_datawig,16,0.1284 ± 0.0621
15_magic,up_chain03_datawig,17,0.1333 ± 0.0648
15_magic,up_chain03_datawig,18,0.1292 ± 0.0655
15_magic,up_chain03_datawig,19,0.1324 ± 0.0653
15_magic,up_chain03_datawig,20,0.1346 ± 0.0604
15_magic,up_chain03_datawig,21,0.1326 ± 0.0611
15_magic,up_chain03_datawig,22,0.1294 ± 0.0639
15_magic,up_chain03_datawig,23,0.1440 ± 0.0569
15_magic,up_chain03_datawig,24,0.1307 ± 0.0647
15_magic,up_chain03_datawig,25,0.1284 ± 0.0629
15_magic,up_chain03_datawig,26,0.1338 ± 0.0598
15_magic,up_chain03_datawig,27,0.1343 ± 0.0616
15_magic,up_chain03_datawig,28,0.1361 ± 0.0608
15_magic,up_chain03_datawig,29,0.1314 ± 0.0595
15_magic,up_chain03_datawig,30,0.1319 ± 0.0663
