Dataset,method,Experiment,RMSE
16_rice,up_chain03_datawig,1,0.1808 ± 0.0351
16_rice,up_chain03_datawig,2,0.1754 ± 0.0363
16_rice,up_chain03_datawig,3,0.1780 ± 0.0262
16_rice,up_chain03_datawig,4,0.1625 ± 0.0213
16_rice,up_chain03_datawig,5,0.1684 ± 0.0291
16_rice,up_chain03_datawig,6,0.1661 ± 0.0156
16_rice,up_chain03_datawig,7,0.1664 ± 0.0354
16_rice,up_chain03_datawig,8,0.1772 ± 0.0220
16_rice,up_chain03_datawig,9,0.1715 ± 0.0260
16_rice,up_chain03_datawig,10,0.1769 ± 0.0210
16_rice,up_chain03_datawig,11,0.1684 ± 0.0337
16_rice,up_chain03_datawig,12,0.1683 ± 0.0420
16_rice,up_chain03_datawig,13,0.1673 ± 0.0403
16_rice,up_chain03_datawig,14,0.1693 ± 0.0297
16_rice,up_chain03_datawig,15,0.1687 ± 0.0256
16_rice,up_chain03_datawig,16,0.1753 ± 0.0268
16_rice,up_chain03_datawig,17,0.1765 ± 0.0383
16_rice,up_chain03_datawig,18,0.1791 ± 0.0289
16_rice,up_chain03_datawig,19,0.1810 ± 0.0315
16_rice,up_chain03_datawig,20,0.1649 ± 0.0339
16_rice,up_chain03_datawig,21,0.1631 ± 0.0317
16_rice,up_chain03_datawig,22,0.1802 ± 0.0229
16_rice,up_chain03_datawig,23,0.1734 ± 0.0339
16_rice,up_chain03_datawig,24,0.1838 ± 0.0299
16_rice,up_chain03_datawig,25,0.1630 ± 0.0398
16_rice,up_chain03_datawig,26,0.1639 ± 0.0343
16_rice,up_chain03_datawig,27,0.1757 ± 0.0246
16_rice,up_chain03_datawig,28,0.1760 ± 0.0274
16_rice,up_chain03_datawig,29,0.1734 ± 0.0189
16_rice,up_chain03_datawig,30,0.1759 ± 0.0333
