Dataset,method,Experiment,RMSE
17_bank,up_chain03_datawig,1,0.2278 ± 0.1112
17_bank,up_chain03_datawig,2,0.2206 ± 0.1227
17_bank,up_chain03_datawig,3,0.2280 ± 0.1215
17_bank,up_chain03_datawig,4,0.2238 ± 0.1192
17_bank,up_chain03_datawig,5,0.2192 ± 0.1277
17_bank,up_chain03_datawig,6,0.2205 ± 0.1236
17_bank,up_chain03_datawig,7,0.2338 ± 0.1220
17_bank,up_chain03_datawig,8,0.2178 ± 0.1301
17_bank,up_chain03_datawig,9,0.2203 ± 0.1274
17_bank,up_chain03_datawig,10,0.2248 ± 0.1251
17_bank,up_chain03_datawig,11,0.2214 ± 0.1229
17_bank,up_chain03_datawig,12,0.2335 ± 0.1171
17_bank,up_chain03_datawig,13,0.2193 ± 0.1206
17_bank,up_chain03_datawig,14,0.2253 ± 0.1351
17_bank,up_chain03_datawig,15,0.2316 ± 0.1132
17_bank,up_chain03_datawig,16,0.2280 ± 0.1175
17_bank,up_chain03_datawig,17,0.2271 ± 0.1219
17_bank,up_chain03_datawig,18,0.2144 ± 0.1197
17_bank,up_chain03_datawig,19,0.2200 ± 0.1153
17_bank,up_chain03_datawig,20,0.2294 ± 0.1171
17_bank,up_chain03_datawig,21,0.2196 ± 0.1289
17_bank,up_chain03_datawig,22,0.2143 ± 0.1257
17_bank,up_chain03_datawig,23,0.2192 ± 0.1227
17_bank,up_chain03_datawig,24,0.2183 ± 0.1176
17_bank,up_chain03_datawig,25,0.2229 ± 0.1165
17_bank,up_chain03_datawig,26,0.2214 ± 0.1230
17_bank,up_chain03_datawig,27,0.2260 ± 0.1237
17_bank,up_chain03_datawig,28,0.2302 ± 0.1176
17_bank,up_chain03_datawig,29,0.2262 ± 0.1143
17_bank,up_chain03_datawig,30,0.2190 ± 0.1329
