Dataset,method,Experiment,RMSE
18_maternal,up_chain03_datawig,1,0.2609 ± 0.0337
18_maternal,up_chain03_datawig,2,0.2392 ± 0.0617
18_maternal,up_chain03_datawig,3,0.3346 ± 0.1891
18_maternal,up_chain03_datawig,4,0.2474 ± 0.0333
18_maternal,up_chain03_datawig,5,0.2080 ± 0.0165
18_maternal,up_chain03_datawig,6,0.2332 ± 0.0325
18_maternal,up_chain03_datawig,7,0.2411 ± 0.0175
18_maternal,up_chain03_datawig,8,0.2162 ± 0.0639
18_maternal,up_chain03_datawig,9,0.2600 ± 0.0454
18_maternal,up_chain03_datawig,10,0.2321 ± 0.0364
18_maternal,up_chain03_datawig,11,0.2149 ± 0.0748
18_maternal,up_chain03_datawig,12,0.2236 ± 0.0702
18_maternal,up_chain03_datawig,13,0.2286 ± 0.0322
18_maternal,up_chain03_datawig,14,0.2269 ± 0.0251
18_maternal,up_chain03_datawig,15,0.2319 ± 0.0525
18_maternal,up_chain03_datawig,16,0.2210 ± 0.0401
18_maternal,up_chain03_datawig,17,0.2307 ± 0.0407
18_maternal,up_chain03_datawig,18,0.2249 ± 0.0763
18_maternal,up_chain03_datawig,19,0.2531 ± 0.0402
18_maternal,up_chain03_datawig,20,0.2263 ± 0.0848
18_maternal,up_chain03_datawig,21,0.2228 ± 0.0542
18_maternal,up_chain03_datawig,22,0.2300 ± 0.0300
18_maternal,up_chain03_datawig,23,0.2166 ± 0.0699
18_maternal,up_chain03_datawig,24,0.2078 ± 0.0482
18_maternal,up_chain03_datawig,25,0.2413 ± 0.0374
18_maternal,up_chain03_datawig,26,0.3076 ± 0.1915
18_maternal,up_chain03_datawig,27,0.3159 ± 0.1992
18_maternal,up_chain03_datawig,28,0.2091 ± 0.0450
18_maternal,up_chain03_datawig,29,0.3140 ± 0.1933
18_maternal,up_chain03_datawig,30,0.3005 ± 0.2065
