Dataset,method,Experiment,RMSE
19_contraceptive,up_chain03_datawig,1,0.2791 ± 0.0613
19_contraceptive,up_chain03_datawig,2,0.2683 ± 0.0783
19_contraceptive,up_chain03_datawig,3,0.2650 ± 0.0725
19_contraceptive,up_chain03_datawig,4,0.2691 ± 0.0862
19_contraceptive,up_chain03_datawig,5,0.2772 ± 0.0786
19_contraceptive,up_chain03_datawig,6,0.2876 ± 0.0634
19_contraceptive,up_chain03_datawig,7,0.2720 ± 0.0852
19_contraceptive,up_chain03_datawig,8,0.2807 ± 0.0791
19_contraceptive,up_chain03_datawig,9,0.2729 ± 0.0752
19_contraceptive,up_chain03_datawig,10,0.2776 ± 0.0768
19_contraceptive,up_chain03_datawig,11,0.2725 ± 0.0795
19_contraceptive,up_chain03_datawig,12,0.2883 ± 0.0956
19_contraceptive,up_chain03_datawig,13,0.2805 ± 0.0927
19_contraceptive,up_chain03_datawig,14,0.2765 ± 0.0721
19_contraceptive,up_chain03_datawig,15,0.2582 ± 0.0880
19_contraceptive,up_chain03_datawig,16,0.2880 ± 0.0721
19_contraceptive,up_chain03_datawig,17,0.2880 ± 0.0783
19_contraceptive,up_chain03_datawig,18,0.2856 ± 0.0689
19_contraceptive,up_chain03_datawig,19,0.2843 ± 0.0776
19_contraceptive,up_chain03_datawig,20,0.2597 ± 0.0645
19_contraceptive,up_chain03_datawig,21,0.2834 ± 0.0668
19_contraceptive,up_chain03_datawig,22,0.2806 ± 0.0810
19_contraceptive,up_chain03_datawig,23,0.2788 ± 0.0742
19_contraceptive,up_chain03_datawig,24,0.2674 ± 0.0912
19_contraceptive,up_chain03_datawig,25,0.2794 ± 0.0528
19_contraceptive,up_chain03_datawig,26,0.2831 ± 0.0728
19_contraceptive,up_chain03_datawig,27,0.2860 ± 0.0820
19_contraceptive,up_chain03_datawig,28,0.2834 ± 0.0843
19_contraceptive,up_chain03_datawig,29,0.2804 ± 0.0597
19_contraceptive,up_chain03_datawig,30,0.2807 ± 0.0785
