Dataset,method,Experiment,RMSE
1_breast,up_chain03_datawig,1,0.3299 ± 0.1075
1_breast,up_chain03_datawig,2,0.3044 ± 0.1222
1_breast,up_chain03_datawig,3,0.3493 ± 0.1382
1_breast,up_chain03_datawig,4,0.3188 ± 0.1254
1_breast,up_chain03_datawig,5,0.2871 ± 0.1280
1_breast,up_chain03_datawig,6,0.4043 ± 0.1802
1_breast,up_chain03_datawig,7,0.3352 ± 0.1470
1_breast,up_chain03_datawig,8,0.3205 ± 0.1351
1_breast,up_chain03_datawig,9,0.2910 ± 0.1459
1_breast,up_chain03_datawig,10,0.3829 ± 0.1884
1_breast,up_chain03_datawig,11,0.3402 ± 0.1324
1_breast,up_chain03_datawig,12,0.3597 ± 0.1291
1_breast,up_chain03_datawig,13,0.3037 ± 0.1453
1_breast,up_chain03_datawig,14,0.3543 ± 0.1437
1_breast,up_chain03_datawig,15,0.3557 ± 0.1199
1_breast,up_chain03_datawig,16,0.3779 ± 0.1234
1_breast,up_chain03_datawig,17,0.3180 ± 0.1267
1_breast,up_chain03_datawig,18,0.4137 ± 0.1571
1_breast,up_chain03_datawig,19,0.3448 ± 0.1339
1_breast,up_chain03_datawig,20,0.3773 ± 0.1100
1_breast,up_chain03_datawig,21,0.3025 ± 0.1418
1_breast,up_chain03_datawig,22,0.3583 ± 0.1874
1_breast,up_chain03_datawig,23,0.3230 ± 0.1316
1_breast,up_chain03_datawig,24,0.2912 ± 0.1075
1_breast,up_chain03_datawig,25,0.3435 ± 0.1309
1_breast,up_chain03_datawig,26,0.3665 ± 0.1761
1_breast,up_chain03_datawig,27,0.3546 ± 0.1193
1_breast,up_chain03_datawig,28,0.3132 ± 0.1084
1_breast,up_chain03_datawig,29,0.3808 ± 0.1774
1_breast,up_chain03_datawig,30,0.3887 ± 0.1903
