Dataset,method,Experiment,RMSE
20_obesity,up_chain03_datawig,1,0.2559 ± 0.1049
20_obesity,up_chain03_datawig,2,0.2296 ± 0.0987
20_obesity,up_chain03_datawig,3,0.2404 ± 0.1003
20_obesity,up_chain03_datawig,4,0.2466 ± 0.1033
20_obesity,up_chain03_datawig,5,0.2380 ± 0.0951
20_obesity,up_chain03_datawig,6,0.2477 ± 0.1028
20_obesity,up_chain03_datawig,7,0.2504 ± 0.1024
20_obesity,up_chain03_datawig,8,0.2454 ± 0.0987
20_obesity,up_chain03_datawig,9,0.2424 ± 0.0821
20_obesity,up_chain03_datawig,10,0.2587 ± 0.0863
20_obesity,up_chain03_datawig,11,0.2466 ± 0.0958
20_obesity,up_chain03_datawig,12,0.2492 ± 0.0978
20_obesity,up_chain03_datawig,13,0.2330 ± 0.0937
20_obesity,up_chain03_datawig,14,0.2396 ± 0.0960
20_obesity,up_chain03_datawig,15,0.2505 ± 0.0887
20_obesity,up_chain03_datawig,16,0.2387 ± 0.0955
20_obesity,up_chain03_datawig,17,0.2470 ± 0.1049
20_obesity,up_chain03_datawig,18,0.2623 ± 0.1106
20_obesity,up_chain03_datawig,19,0.2367 ± 0.0900
20_obesity,up_chain03_datawig,20,0.2581 ± 0.1091
20_obesity,up_chain03_datawig,21,0.2635 ± 0.0866
20_obesity,up_chain03_datawig,22,0.2362 ± 0.0982
20_obesity,up_chain03_datawig,23,0.2460 ± 0.0965
20_obesity,up_chain03_datawig,24,0.2433 ± 0.1004
20_obesity,up_chain03_datawig,25,0.2317 ± 0.1025
20_obesity,up_chain03_datawig,26,0.2412 ± 0.0976
20_obesity,up_chain03_datawig,27,0.2478 ± 0.1071
20_obesity,up_chain03_datawig,28,0.2576 ± 0.0966
20_obesity,up_chain03_datawig,29,0.2346 ± 0.1044
20_obesity,up_chain03_datawig,30,0.2372 ± 0.0815
