Dataset,method,Experiment,RMSE
21_yeast,up_chain03_datawig,1,0.0938 ± 0.0455
21_yeast,up_chain03_datawig,2,0.2218 ± 0.3000
21_yeast,up_chain03_datawig,3,0.0997 ± 0.0610
21_yeast,up_chain03_datawig,4,0.1165 ± 0.0306
21_yeast,up_chain03_datawig,5,0.1331 ± 0.0371
21_yeast,up_chain03_datawig,6,0.1241 ± 0.0449
21_yeast,up_chain03_datawig,7,0.1297 ± 0.0355
21_yeast,up_chain03_datawig,8,0.3421 ± 0.5053
21_yeast,up_chain03_datawig,9,0.1033 ± 0.0438
21_yeast,up_chain03_datawig,10,0.1252 ± 0.0358
21_yeast,up_chain03_datawig,11,0.1152 ± 0.0402
21_yeast,up_chain03_datawig,12,0.1128 ± 0.0412
21_yeast,up_chain03_datawig,13,0.1054 ± 0.0552
21_yeast,up_chain03_datawig,14,0.1402 ± 0.0305
21_yeast,up_chain03_datawig,15,0.1123 ± 0.0467
21_yeast,up_chain03_datawig,16,0.1184 ± 0.0548
21_yeast,up_chain03_datawig,17,0.3309 ± 0.5830
21_yeast,up_chain03_datawig,18,0.1206 ± 0.0374
21_yeast,up_chain03_datawig,19,0.1143 ± 0.0496
21_yeast,up_chain03_datawig,20,0.1077 ± 0.0447
21_yeast,up_chain03_datawig,21,0.1236 ± 0.0448
21_yeast,up_chain03_datawig,22,0.1196 ± 0.0369
21_yeast,up_chain03_datawig,23,0.1458 ± 0.0460
21_yeast,up_chain03_datawig,24,0.1295 ± 0.0750
21_yeast,up_chain03_datawig,25,0.1046 ± 0.0487
21_yeast,up_chain03_datawig,26,0.1044 ± 0.0518
21_yeast,up_chain03_datawig,27,0.1334 ± 0.0476
21_yeast,up_chain03_datawig,28,0.2652 ± 0.4176
21_yeast,up_chain03_datawig,29,0.2427 ± 0.3392
21_yeast,up_chain03_datawig,30,0.1276 ± 0.0302
