Dataset,method,Experiment,RMSE
24_credit,up_chain03_datawig,1,0.3048 ± 0.1360
24_credit,up_chain03_datawig,2,0.2525 ± 0.1459
24_credit,up_chain03_datawig,3,0.3111 ± 0.1174
24_credit,up_chain03_datawig,4,0.3064 ± 0.1190
24_credit,up_chain03_datawig,5,0.2827 ± 0.1387
24_credit,up_chain03_datawig,6,0.2802 ± 0.1395
24_credit,up_chain03_datawig,7,0.2854 ± 0.1451
24_credit,up_chain03_datawig,8,0.2519 ± 0.1299
24_credit,up_chain03_datawig,9,0.2678 ± 0.1310
24_credit,up_chain03_datawig,10,0.2509 ± 0.1486
24_credit,up_chain03_datawig,11,0.2624 ± 0.1389
24_credit,up_chain03_datawig,12,0.2479 ± 0.1606
24_credit,up_chain03_datawig,13,0.2577 ± 0.1421
24_credit,up_chain03_datawig,14,0.2555 ± 0.1259
24_credit,up_chain03_datawig,15,0.2520 ± 0.1334
24_credit,up_chain03_datawig,16,0.2767 ± 0.1418
24_credit,up_chain03_datawig,17,0.2447 ± 0.1182
24_credit,up_chain03_datawig,18,0.3014 ± 0.1376
24_credit,up_chain03_datawig,19,0.2692 ± 0.1638
24_credit,up_chain03_datawig,20,0.2516 ± 0.1374
24_credit,up_chain03_datawig,21,0.2753 ± 0.1482
24_credit,up_chain03_datawig,22,0.2558 ± 0.1321
24_credit,up_chain03_datawig,23,0.2656 ± 0.1498
24_credit,up_chain03_datawig,24,0.2600 ± 0.1265
24_credit,up_chain03_datawig,25,0.2764 ± 0.1241
24_credit,up_chain03_datawig,26,0.3086 ± 0.1777
24_credit,up_chain03_datawig,27,0.2858 ± 0.1316
24_credit,up_chain03_datawig,28,0.2605 ± 0.1798
24_credit,up_chain03_datawig,29,0.2532 ± 0.1476
24_credit,up_chain03_datawig,30,0.2800 ± 0.1410
