Dataset,method,Experiment,RMSE
25_hepatitis,up_chain03_datawig,1,0.3683 ± 0.1606
25_hepatitis,up_chain03_datawig,2,0.3867 ± 0.1743
25_hepatitis,up_chain03_datawig,3,0.3576 ± 0.1411
25_hepatitis,up_chain03_datawig,4,0.3945 ± 0.1601
25_hepatitis,up_chain03_datawig,5,0.3953 ± 0.1733
25_hepatitis,up_chain03_datawig,6,0.3872 ± 0.1553
25_hepatitis,up_chain03_datawig,7,0.3944 ± 0.1771
25_hepatitis,up_chain03_datawig,8,0.4307 ± 0.2233
25_hepatitis,up_chain03_datawig,9,0.4122 ± 0.1587
25_hepatitis,up_chain03_datawig,10,0.4570 ± 0.1956
25_hepatitis,up_chain03_datawig,11,0.3996 ± 0.1539
25_hepatitis,up_chain03_datawig,12,0.4197 ± 0.2632
25_hepatitis,up_chain03_datawig,13,0.4021 ± 0.1403
25_hepatitis,up_chain03_datawig,14,0.3951 ± 0.1702
25_hepatitis,up_chain03_datawig,15,0.3982 ± 0.1730
25_hepatitis,up_chain03_datawig,16,0.3637 ± 0.1769
25_hepatitis,up_chain03_datawig,17,0.3956 ± 0.1780
25_hepatitis,up_chain03_datawig,18,0.3700 ± 0.1693
25_hepatitis,up_chain03_datawig,19,0.3996 ± 0.2000
25_hepatitis,up_chain03_datawig,20,0.3873 ± 0.1721
25_hepatitis,up_chain03_datawig,21,0.4546 ± 0.2079
25_hepatitis,up_chain03_datawig,22,0.4216 ± 0.1656
25_hepatitis,up_chain03_datawig,23,0.3800 ± 0.1731
25_hepatitis,up_chain03_datawig,24,0.4602 ± 0.2274
25_hepatitis,up_chain03_datawig,25,0.4138 ± 0.1579
25_hepatitis,up_chain03_datawig,26,0.4006 ± 0.1474
25_hepatitis,up_chain03_datawig,27,0.3865 ± 0.2029
25_hepatitis,up_chain03_datawig,28,0.3553 ± 0.1558
25_hepatitis,up_chain03_datawig,29,0.3264 ± 0.1236
25_hepatitis,up_chain03_datawig,30,0.4117 ± 0.1774
