Dataset,method,Experiment,RMSE
27_wholesale,up_chain03_datawig,1,0.1265 ± 0.0489
27_wholesale,up_chain03_datawig,2,0.1430 ± 0.0462
27_wholesale,up_chain03_datawig,3,0.1567 ± 0.0683
27_wholesale,up_chain03_datawig,4,0.1965 ± 0.1457
27_wholesale,up_chain03_datawig,5,0.1370 ± 0.0667
27_wholesale,up_chain03_datawig,6,0.1224 ± 0.0369
27_wholesale,up_chain03_datawig,7,0.1107 ± 0.0922
27_wholesale,up_chain03_datawig,8,0.1771 ± 0.0491
27_wholesale,up_chain03_datawig,9,0.2125 ± 0.0723
27_wholesale,up_chain03_datawig,10,0.1352 ± 0.0391
27_wholesale,up_chain03_datawig,11,0.1249 ± 0.0603
27_wholesale,up_chain03_datawig,12,0.1969 ± 0.0807
27_wholesale,up_chain03_datawig,13,0.1910 ± 0.1972
27_wholesale,up_chain03_datawig,14,0.0739 ± 0.0349
27_wholesale,up_chain03_datawig,15,0.1018 ± 0.0613
27_wholesale,up_chain03_datawig,16,0.1480 ± 0.0280
27_wholesale,up_chain03_datawig,17,0.2137 ± 0.1192
27_wholesale,up_chain03_datawig,18,0.2214 ± 0.1088
27_wholesale,up_chain03_datawig,19,0.0829 ± 0.0399
27_wholesale,up_chain03_datawig,20,0.1330 ± 0.0524
27_wholesale,up_chain03_datawig,21,0.1200 ± 0.0493
27_wholesale,up_chain03_datawig,22,0.1191 ± 0.0729
27_wholesale,up_chain03_datawig,23,0.1380 ± 0.0537
27_wholesale,up_chain03_datawig,24,0.1170 ± 0.0755
27_wholesale,up_chain03_datawig,25,0.1333 ± 0.0481
27_wholesale,up_chain03_datawig,26,0.1232 ± 0.0385
27_wholesale,up_chain03_datawig,27,0.1296 ± 0.0523
27_wholesale,up_chain03_datawig,28,0.1205 ± 0.0695
27_wholesale,up_chain03_datawig,29,0.0828 ± 0.0351
27_wholesale,up_chain03_datawig,30,0.0738 ± 0.0109
