Dataset,method,Experiment,RMSE
29_echocardiogram,up_chain03_datawig,1,0.2888 ± 0.1762
29_echocardiogram,up_chain03_datawig,2,0.2668 ± 0.1632
29_echocardiogram,up_chain03_datawig,3,0.3718 ± 0.1088
29_echocardiogram,up_chain03_datawig,4,0.3184 ± 0.1644
29_echocardiogram,up_chain03_datawig,5,0.3795 ± 0.1927
29_echocardiogram,up_chain03_datawig,6,0.3570 ± 0.1709
29_echocardiogram,up_chain03_datawig,7,0.3326 ± 0.1580
29_echocardiogram,up_chain03_datawig,8,0.4075 ± 0.2437
29_echocardiogram,up_chain03_datawig,9,0.2842 ± 0.1439
29_echocardiogram,up_chain03_datawig,10,0.3978 ± 0.1841
29_echocardiogram,up_chain03_datawig,11,0.2946 ± 0.2091
29_echocardiogram,up_chain03_datawig,12,0.3015 ± 0.1268
29_echocardiogram,up_chain03_datawig,13,0.3186 ± 0.1453
29_echocardiogram,up_chain03_datawig,14,0.2960 ± 0.0866
29_echocardiogram,up_chain03_datawig,15,0.2670 ± 0.1233
29_echocardiogram,up_chain03_datawig,16,0.3721 ± 0.1830
29_echocardiogram,up_chain03_datawig,17,0.2989 ± 0.1848
29_echocardiogram,up_chain03_datawig,18,0.3625 ± 0.1302
29_echocardiogram,up_chain03_datawig,19,0.2925 ± 0.1194
29_echocardiogram,up_chain03_datawig,20,0.3068 ± 0.1305
29_echocardiogram,up_chain03_datawig,21,0.3320 ± 0.1653
29_echocardiogram,up_chain03_datawig,22,0.3598 ± 0.2087
29_echocardiogram,up_chain03_datawig,23,0.3215 ± 0.1626
29_echocardiogram,up_chain03_datawig,24,0.3079 ± 0.1966
29_echocardiogram,up_chain03_datawig,25,0.2862 ± 0.1616
29_echocardiogram,up_chain03_datawig,26,0.3385 ± 0.1326
29_echocardiogram,up_chain03_datawig,27,0.3428 ± 0.1332
29_echocardiogram,up_chain03_datawig,28,0.3629 ± 0.2510
29_echocardiogram,up_chain03_datawig,29,0.2762 ± 0.1329
29_echocardiogram,up_chain03_datawig,30,0.2776 ± 0.1351
