Dataset,method,Experiment,RMSE
2_heart,up_chain03_datawig,1,0.3304 ± 0.1274
2_heart,up_chain03_datawig,2,0.3607 ± 0.1474
2_heart,up_chain03_datawig,3,0.3534 ± 0.1186
2_heart,up_chain03_datawig,4,0.3001 ± 0.1291
2_heart,up_chain03_datawig,5,0.3478 ± 0.1276
2_heart,up_chain03_datawig,6,0.3413 ± 0.1272
2_heart,up_chain03_datawig,7,0.3044 ± 0.1383
2_heart,up_chain03_datawig,8,0.3193 ± 0.1370
2_heart,up_chain03_datawig,9,0.3618 ± 0.1548
2_heart,up_chain03_datawig,10,0.3015 ± 0.1460
2_heart,up_chain03_datawig,11,0.3333 ± 0.1574
2_heart,up_chain03_datawig,12,0.2953 ± 0.1216
2_heart,up_chain03_datawig,13,0.3034 ± 0.1203
2_heart,up_chain03_datawig,14,0.3278 ± 0.1144
2_heart,up_chain03_datawig,15,0.3462 ± 0.1174
2_heart,up_chain03_datawig,16,0.3058 ± 0.1265
2_heart,up_chain03_datawig,17,0.3413 ± 0.1647
2_heart,up_chain03_datawig,18,0.3289 ± 0.0964
2_heart,up_chain03_datawig,19,0.3159 ± 0.1289
2_heart,up_chain03_datawig,20,0.3155 ± 0.1260
2_heart,up_chain03_datawig,21,0.3322 ± 0.1304
2_heart,up_chain03_datawig,22,0.2810 ± 0.1319
2_heart,up_chain03_datawig,23,0.3298 ± 0.1293
2_heart,up_chain03_datawig,24,0.3394 ± 0.1161
2_heart,up_chain03_datawig,25,0.3136 ± 0.1099
2_heart,up_chain03_datawig,26,0.3250 ± 0.1378
2_heart,up_chain03_datawig,27,0.3255 ± 0.1351
2_heart,up_chain03_datawig,28,0.3248 ± 0.1082
2_heart,up_chain03_datawig,29,0.2860 ± 0.0947
2_heart,up_chain03_datawig,30,0.3242 ± 0.1517
