Dataset,method,Experiment,RMSE
30_monk,up_chain03_datawig,1,0.3898 ± 0.0633
30_monk,up_chain03_datawig,2,0.4015 ± 0.0930
30_monk,up_chain03_datawig,3,0.3756 ± 0.0478
30_monk,up_chain03_datawig,4,0.3869 ± 0.0797
30_monk,up_chain03_datawig,5,0.3757 ± 0.0825
30_monk,up_chain03_datawig,6,0.3933 ± 0.0636
30_monk,up_chain03_datawig,7,0.3817 ± 0.0622
30_monk,up_chain03_datawig,8,0.3727 ± 0.0522
30_monk,up_chain03_datawig,9,0.3875 ± 0.0740
30_monk,up_chain03_datawig,10,0.3862 ± 0.0955
30_monk,up_chain03_datawig,11,0.3948 ± 0.0629
30_monk,up_chain03_datawig,12,0.3699 ± 0.0649
30_monk,up_chain03_datawig,13,0.3760 ± 0.0862
30_monk,up_chain03_datawig,14,0.3757 ± 0.0629
30_monk,up_chain03_datawig,15,0.4032 ± 0.0478
30_monk,up_chain03_datawig,16,0.3682 ± 0.0627
30_monk,up_chain03_datawig,17,0.4085 ± 0.0546
30_monk,up_chain03_datawig,18,0.3526 ± 0.0823
30_monk,up_chain03_datawig,19,0.3582 ± 0.0935
30_monk,up_chain03_datawig,20,0.3556 ± 0.0462
30_monk,up_chain03_datawig,21,0.3713 ± 0.0665
30_monk,up_chain03_datawig,22,0.3671 ± 0.0716
30_monk,up_chain03_datawig,23,0.3692 ± 0.0484
30_monk,up_chain03_datawig,24,0.3815 ± 0.0862
30_monk,up_chain03_datawig,25,0.3623 ± 0.0627
30_monk,up_chain03_datawig,26,0.3794 ± 0.0570
30_monk,up_chain03_datawig,27,0.3910 ± 0.0467
30_monk,up_chain03_datawig,28,0.3745 ± 0.0780
30_monk,up_chain03_datawig,29,0.3843 ± 0.0524
30_monk,up_chain03_datawig,30,0.3877 ± 0.0591
