Dataset,method,Experiment,RMSE
31_blood,up_chain03_datawig,1,0.1689 ± 0.0989
31_blood,up_chain03_datawig,2,0.1708 ± 0.1221
31_blood,up_chain03_datawig,3,0.2071 ± 0.1279
31_blood,up_chain03_datawig,4,0.1539 ± 0.0656
31_blood,up_chain03_datawig,5,0.2339 ± 0.1001
31_blood,up_chain03_datawig,6,0.1863 ± 0.0806
31_blood,up_chain03_datawig,7,0.1869 ± 0.1005
31_blood,up_chain03_datawig,8,0.2315 ± 0.1053
31_blood,up_chain03_datawig,9,0.1752 ± 0.0935
31_blood,up_chain03_datawig,10,0.3043 ± 0.2416
31_blood,up_chain03_datawig,11,0.1924 ± 0.0854
31_blood,up_chain03_datawig,12,0.1456 ± 0.0638
31_blood,up_chain03_datawig,13,0.1861 ± 0.0357
31_blood,up_chain03_datawig,14,0.2375 ± 0.1159
31_blood,up_chain03_datawig,15,0.1979 ± 0.0804
31_blood,up_chain03_datawig,16,0.2037 ± 0.0960
31_blood,up_chain03_datawig,17,0.2601 ± 0.1154
31_blood,up_chain03_datawig,18,0.3105 ± 0.1822
31_blood,up_chain03_datawig,19,0.1401 ± 0.0712
31_blood,up_chain03_datawig,20,0.2173 ± 0.1044
31_blood,up_chain03_datawig,21,0.1611 ± 0.0810
31_blood,up_chain03_datawig,22,0.2109 ± 0.0756
31_blood,up_chain03_datawig,23,0.2209 ± 0.0762
31_blood,up_chain03_datawig,24,0.2368 ± 0.1284
31_blood,up_chain03_datawig,25,0.1723 ± 0.0747
31_blood,up_chain03_datawig,26,0.1807 ± 0.1045
31_blood,up_chain03_datawig,27,0.2166 ± 0.0958
31_blood,up_chain03_datawig,28,0.1899 ± 0.0454
31_blood,up_chain03_datawig,29,0.2681 ± 0.1621
31_blood,up_chain03_datawig,30,0.1569 ± 0.0728
