Dataset,method,Experiment,RMSE
33_forty,up_chain03_datawig,1,0.2347 ± 0.0873
33_forty,up_chain03_datawig,2,0.2406 ± 0.1047
33_forty,up_chain03_datawig,3,0.2262 ± 0.1305
33_forty,up_chain03_datawig,4,0.2335 ± 0.0640
33_forty,up_chain03_datawig,5,0.2297 ± 0.1060
33_forty,up_chain03_datawig,6,0.2249 ± 0.0760
33_forty,up_chain03_datawig,7,0.2254 ± 0.0424
33_forty,up_chain03_datawig,8,0.2084 ± 0.0713
33_forty,up_chain03_datawig,9,0.2449 ± 0.0830
33_forty,up_chain03_datawig,10,0.2475 ± 0.1080
33_forty,up_chain03_datawig,11,0.2487 ± 0.1122
33_forty,up_chain03_datawig,12,0.2446 ± 0.1126
33_forty,up_chain03_datawig,13,0.2595 ± 0.1494
33_forty,up_chain03_datawig,14,0.2247 ± 0.0876
33_forty,up_chain03_datawig,15,0.2509 ± 0.0698
33_forty,up_chain03_datawig,16,0.2255 ± 0.0624
33_forty,up_chain03_datawig,17,0.2649 ± 0.2304
33_forty,up_chain03_datawig,18,0.2513 ± 0.1620
33_forty,up_chain03_datawig,19,0.2503 ± 0.0834
33_forty,up_chain03_datawig,20,0.2454 ± 0.1111
33_forty,up_chain03_datawig,21,0.2548 ± 0.1716
33_forty,up_chain03_datawig,22,0.2223 ± 0.0640
33_forty,up_chain03_datawig,23,0.2480 ± 0.0770
33_forty,up_chain03_datawig,24,0.2389 ± 0.0676
33_forty,up_chain03_datawig,25,0.2187 ± 0.0599
33_forty,up_chain03_datawig,26,0.2198 ± 0.0561
33_forty,up_chain03_datawig,27,0.2023 ± 0.0695
33_forty,up_chain03_datawig,28,0.2435 ± 0.0729
33_forty,up_chain03_datawig,29,0.2658 ± 0.1505
33_forty,up_chain03_datawig,30,0.2421 ± 0.0759
