Dataset,method,Experiment,RMSE
3_adult,up_chain03_datawig,1,0.1884 ± 0.0965
3_adult,up_chain03_datawig,2,0.1977 ± 0.1089
3_adult,up_chain03_datawig,3,0.1964 ± 0.0945
3_adult,up_chain03_datawig,4,0.1883 ± 0.0939
3_adult,up_chain03_datawig,5,0.1891 ± 0.0989
3_adult,up_chain03_datawig,6,0.1898 ± 0.0983
3_adult,up_chain03_datawig,7,0.1888 ± 0.0988
3_adult,up_chain03_datawig,8,0.1881 ± 0.0972
3_adult,up_chain03_datawig,9,0.1905 ± 0.0945
3_adult,up_chain03_datawig,10,0.1904 ± 0.0931
3_adult,up_chain03_datawig,11,0.1890 ± 0.0972
3_adult,up_chain03_datawig,12,0.1867 ± 0.0933
3_adult,up_chain03_datawig,13,0.1878 ± 0.0984
3_adult,up_chain03_datawig,14,0.1877 ± 0.0987
3_adult,up_chain03_datawig,15,0.1902 ± 0.0943
3_adult,up_chain03_datawig,16,0.1899 ± 0.0938
3_adult,up_chain03_datawig,17,0.1903 ± 0.0944
3_adult,up_chain03_datawig,18,0.1951 ± 0.0915
3_adult,up_chain03_datawig,19,0.1884 ± 0.0942
3_adult,up_chain03_datawig,20,0.1875 ± 0.0977
3_adult,up_chain03_datawig,21,0.1944 ± 0.0887
3_adult,up_chain03_datawig,22,0.1929 ± 0.0939
3_adult,up_chain03_datawig,23,0.1883 ± 0.0988
3_adult,up_chain03_datawig,24,0.1888 ± 0.0993
3_adult,up_chain03_datawig,25,0.1903 ± 0.0940
3_adult,up_chain03_datawig,26,0.1947 ± 0.0934
3_adult,up_chain03_datawig,27,0.1903 ± 0.0951
3_adult,up_chain03_datawig,28,0.1894 ± 0.0975
3_adult,up_chain03_datawig,29,0.1890 ± 0.0974
3_adult,up_chain03_datawig,30,0.1906 ± 0.0987
