Dataset,method,Experiment,RMSE
4_wine,up_chain03_datawig,1,0.2466 ± 0.0837
4_wine,up_chain03_datawig,2,0.2798 ± 0.1371
4_wine,up_chain03_datawig,3,0.2443 ± 0.0735
4_wine,up_chain03_datawig,4,0.2678 ± 0.0950
4_wine,up_chain03_datawig,5,0.2574 ± 0.0609
4_wine,up_chain03_datawig,6,0.2357 ± 0.0650
4_wine,up_chain03_datawig,7,0.2629 ± 0.1015
4_wine,up_chain03_datawig,8,0.2745 ± 0.0717
4_wine,up_chain03_datawig,9,0.2447 ± 0.0732
4_wine,up_chain03_datawig,10,0.2426 ± 0.0922
4_wine,up_chain03_datawig,11,0.2740 ± 0.0736
4_wine,up_chain03_datawig,12,0.2632 ± 0.0727
4_wine,up_chain03_datawig,13,0.2742 ± 0.0864
4_wine,up_chain03_datawig,14,0.2833 ± 0.1090
4_wine,up_chain03_datawig,15,0.2471 ± 0.0652
4_wine,up_chain03_datawig,16,0.2903 ± 0.0795
4_wine,up_chain03_datawig,17,0.2549 ± 0.0828
4_wine,up_chain03_datawig,18,0.2492 ± 0.0375
4_wine,up_chain03_datawig,19,0.2660 ± 0.0936
4_wine,up_chain03_datawig,20,0.2807 ± 0.1360
4_wine,up_chain03_datawig,21,0.2972 ± 0.0851
4_wine,up_chain03_datawig,22,0.2680 ± 0.0639
4_wine,up_chain03_datawig,23,0.2561 ± 0.0755
4_wine,up_chain03_datawig,24,0.2479 ± 0.0991
4_wine,up_chain03_datawig,25,0.2178 ± 0.0863
4_wine,up_chain03_datawig,26,0.2488 ± 0.0546
4_wine,up_chain03_datawig,27,0.2419 ± 0.0915
4_wine,up_chain03_datawig,28,0.2973 ± 0.0777
4_wine,up_chain03_datawig,29,0.2526 ± 0.1119
4_wine,up_chain03_datawig,30,0.2345 ± 0.0599
