Dataset,method,Experiment,RMSE
5_spambase,up_chain03_datawig,1,0.1280 ± 0.0746
5_spambase,up_chain03_datawig,2,0.1330 ± 0.0620
5_spambase,up_chain03_datawig,3,0.1425 ± 0.1229
5_spambase,up_chain03_datawig,4,0.1392 ± 0.1026
5_spambase,up_chain03_datawig,5,0.1374 ± 0.1296
5_spambase,up_chain03_datawig,6,0.1517 ± 0.1486
5_spambase,up_chain03_datawig,7,0.1442 ± 0.0821
5_spambase,up_chain03_datawig,8,0.1382 ± 0.1066
5_spambase,up_chain03_datawig,9,0.1542 ± 0.1262
5_spambase,up_chain03_datawig,10,0.1360 ± 0.1056
5_spambase,up_chain03_datawig,11,0.1705 ± 0.1742
5_spambase,up_chain03_datawig,12,0.1413 ± 0.0972
5_spambase,up_chain03_datawig,13,0.1426 ± 0.0636
5_spambase,up_chain03_datawig,14,0.1263 ± 0.0937
5_spambase,up_chain03_datawig,15,0.1342 ± 0.1046
5_spambase,up_chain03_datawig,16,0.1486 ± 0.1575
5_spambase,up_chain03_datawig,17,0.1246 ± 0.1011
5_spambase,up_chain03_datawig,18,0.1318 ± 0.0811
5_spambase,up_chain03_datawig,19,0.1155 ± 0.0945
5_spambase,up_chain03_datawig,20,0.1278 ± 0.0714
5_spambase,up_chain03_datawig,21,0.1387 ± 0.0860
5_spambase,up_chain03_datawig,22,0.1490 ± 0.1401
5_spambase,up_chain03_datawig,23,0.1155 ± 0.0865
5_spambase,up_chain03_datawig,24,0.1394 ± 0.0981
5_spambase,up_chain03_datawig,25,0.1381 ± 0.1412
5_spambase,up_chain03_datawig,26,0.1517 ± 0.1029
5_spambase,up_chain03_datawig,27,0.1153 ± 0.0682
5_spambase,up_chain03_datawig,28,0.1237 ± 0.1012
5_spambase,up_chain03_datawig,29,0.1228 ± 0.0747
5_spambase,up_chain03_datawig,30,0.1403 ± 0.1088
