Dataset,method,Experiment,RMSE
6_chess,up_chain03_datawig,1,0.2872 ± 0.0100
6_chess,up_chain03_datawig,2,0.2848 ± 0.0087
6_chess,up_chain03_datawig,3,0.2821 ± 0.0098
6_chess,up_chain03_datawig,4,0.2866 ± 0.0079
6_chess,up_chain03_datawig,5,0.2885 ± 0.0078
6_chess,up_chain03_datawig,6,0.2862 ± 0.0101
6_chess,up_chain03_datawig,7,0.2873 ± 0.0117
6_chess,up_chain03_datawig,8,0.2886 ± 0.0108
6_chess,up_chain03_datawig,9,0.2828 ± 0.0122
6_chess,up_chain03_datawig,10,0.2893 ± 0.0076
6_chess,up_chain03_datawig,11,0.2838 ± 0.0103
6_chess,up_chain03_datawig,12,0.2892 ± 0.0084
6_chess,up_chain03_datawig,13,0.2896 ± 0.0063
6_chess,up_chain03_datawig,14,0.2845 ± 0.0109
6_chess,up_chain03_datawig,15,0.2900 ± 0.0056
6_chess,up_chain03_datawig,16,0.2874 ± 0.0104
6_chess,up_chain03_datawig,17,0.2850 ± 0.0082
6_chess,up_chain03_datawig,18,0.2877 ± 0.0089
6_chess,up_chain03_datawig,19,0.2888 ± 0.0068
6_chess,up_chain03_datawig,20,0.2829 ± 0.0060
6_chess,up_chain03_datawig,21,0.2842 ± 0.0070
6_chess,up_chain03_datawig,22,0.2851 ± 0.0105
6_chess,up_chain03_datawig,23,0.2854 ± 0.0069
6_chess,up_chain03_datawig,24,0.2891 ± 0.0062
6_chess,up_chain03_datawig,25,0.2884 ± 0.0060
6_chess,up_chain03_datawig,26,0.2867 ± 0.0093
6_chess,up_chain03_datawig,27,0.2868 ± 0.0062
6_chess,up_chain03_datawig,28,0.2844 ± 0.0102
6_chess,up_chain03_datawig,29,0.2855 ± 0.0111
6_chess,up_chain03_datawig,30,0.2875 ± 0.0063
