Dataset,method,Experiment,RMSE
7_post,up_chain03_datawig,1,0.3621 ± 0.1748
7_post,up_chain03_datawig,2,0.3534 ± 0.1644
7_post,up_chain03_datawig,3,0.4286 ± 0.1162
7_post,up_chain03_datawig,4,0.4923 ± 0.2170
7_post,up_chain03_datawig,5,0.3600 ± 0.1570
7_post,up_chain03_datawig,6,0.4018 ± 0.2384
7_post,up_chain03_datawig,7,0.4250 ± 0.2778
7_post,up_chain03_datawig,8,0.4063 ± 0.1147
7_post,up_chain03_datawig,9,0.4707 ± 0.2339
7_post,up_chain03_datawig,10,0.4385 ± 0.3171
7_post,up_chain03_datawig,11,0.3611 ± 0.2288
7_post,up_chain03_datawig,12,0.3620 ± 0.1683
7_post,up_chain03_datawig,13,0.4934 ± 0.2867
7_post,up_chain03_datawig,14,0.4885 ± 0.2983
7_post,up_chain03_datawig,15,0.3816 ± 0.1820
7_post,up_chain03_datawig,16,0.3382 ± 0.1980
7_post,up_chain03_datawig,17,0.5507 ± 0.3081
7_post,up_chain03_datawig,18,0.4207 ± 0.1374
7_post,up_chain03_datawig,19,0.4001 ± 0.1909
7_post,up_chain03_datawig,20,0.3476 ± 0.1099
7_post,up_chain03_datawig,21,0.4308 ± 0.2755
7_post,up_chain03_datawig,22,0.3946 ± 0.1804
7_post,up_chain03_datawig,23,0.3657 ± 0.1544
7_post,up_chain03_datawig,24,0.5382 ± 0.2700
7_post,up_chain03_datawig,25,0.4221 ± 0.1370
7_post,up_chain03_datawig,26,0.4160 ± 0.2744
7_post,up_chain03_datawig,27,0.5320 ± 0.2774
7_post,up_chain03_datawig,28,0.5148 ± 0.2646
7_post,up_chain03_datawig,29,0.3959 ± 0.2044
7_post,up_chain03_datawig,30,0.5836 ± 0.3879
