Dataset,method,Experiment,RMSE
8_liver,up_chain03_datawig,1,0.2025 ± 0.1279
8_liver,up_chain03_datawig,2,0.2576 ± 0.1466
8_liver,up_chain03_datawig,3,0.2134 ± 0.0893
8_liver,up_chain03_datawig,4,0.2168 ± 0.1182
8_liver,up_chain03_datawig,5,0.2455 ± 0.1428
8_liver,up_chain03_datawig,6,0.2221 ± 0.1825
8_liver,up_chain03_datawig,7,0.2581 ± 0.1275
8_liver,up_chain03_datawig,8,0.2634 ± 0.0851
8_liver,up_chain03_datawig,9,0.2608 ± 0.1431
8_liver,up_chain03_datawig,10,0.2007 ± 0.1340
8_liver,up_chain03_datawig,11,0.2480 ± 0.1380
8_liver,up_chain03_datawig,12,0.1982 ± 0.1511
8_liver,up_chain03_datawig,13,0.2956 ± 0.1317
8_liver,up_chain03_datawig,14,0.2391 ± 0.1477
8_liver,up_chain03_datawig,15,0.2370 ± 0.1160
8_liver,up_chain03_datawig,16,0.2069 ± 0.1511
8_liver,up_chain03_datawig,17,0.1754 ± 0.1090
8_liver,up_chain03_datawig,18,0.2672 ± 0.1638
8_liver,up_chain03_datawig,19,0.2208 ± 0.1152
8_liver,up_chain03_datawig,20,0.2302 ± 0.1229
8_liver,up_chain03_datawig,21,0.1781 ± 0.1482
8_liver,up_chain03_datawig,22,0.2775 ± 0.1491
8_liver,up_chain03_datawig,23,0.1920 ± 0.1313
8_liver,up_chain03_datawig,24,0.2208 ± 0.1152
8_liver,up_chain03_datawig,25,0.1899 ± 0.1416
8_liver,up_chain03_datawig,26,0.2618 ± 0.1620
8_liver,up_chain03_datawig,27,0.2174 ± 0.1499
8_liver,up_chain03_datawig,28,0.2490 ± 0.1282
8_liver,up_chain03_datawig,29,0.2661 ± 0.0990
8_liver,up_chain03_datawig,30,0.1899 ± 0.1341
