Dataset,method,Experiment,RMSE
9_abalone,up_chain03_datawig,1,0.1721 ± 0.0567
9_abalone,up_chain03_datawig,2,0.1641 ± 0.0167
9_abalone,up_chain03_datawig,3,0.1582 ± 0.0155
9_abalone,up_chain03_datawig,4,0.1592 ± 0.0128
9_abalone,up_chain03_datawig,5,0.1619 ± 0.0260
9_abalone,up_chain03_datawig,6,0.1477 ± 0.0635
9_abalone,up_chain03_datawig,7,0.1529 ± 0.0523
9_abalone,up_chain03_datawig,8,0.1385 ± 0.0503
9_abalone,up_chain03_datawig,9,0.1622 ± 0.0159
9_abalone,up_chain03_datawig,10,0.1563 ± 0.0281
9_abalone,up_chain03_datawig,11,0.1622 ± 0.0285
9_abalone,up_chain03_datawig,12,0.1534 ± 0.0138
9_abalone,up_chain03_datawig,13,0.1699 ± 0.0314
9_abalone,up_chain03_datawig,14,0.1489 ± 0.0393
9_abalone,up_chain03_datawig,15,0.1742 ± 0.0357
9_abalone,up_chain03_datawig,16,0.1668 ± 0.0197
9_abalone,up_chain03_datawig,17,0.1612 ± 0.0227
9_abalone,up_chain03_datawig,18,0.1572 ± 0.0184
9_abalone,up_chain03_datawig,19,0.1693 ± 0.0295
9_abalone,up_chain03_datawig,20,0.1564 ± 0.0234
9_abalone,up_chain03_datawig,21,0.1455 ± 0.0491
9_abalone,up_chain03_datawig,22,0.1620 ± 0.0116
9_abalone,up_chain03_datawig,23,0.1640 ± 0.0236
9_abalone,up_chain03_datawig,24,0.1637 ± 0.0354
9_abalone,up_chain03_datawig,25,0.1486 ± 0.0270
9_abalone,up_chain03_datawig,26,0.1750 ± 0.0297
9_abalone,up_chain03_datawig,27,0.1501 ± 0.0249
9_abalone,up_chain03_datawig,28,0.1424 ± 0.0452
9_abalone,up_chain03_datawig,29,0.1593 ± 0.0269
9_abalone,up_chain03_datawig,30,0.1477 ± 0.0297
