Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
10_lympho,up_chain03_datawig,1,no. of nodes in,0.2171406326006389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,up_chain03_datawig,1,changes in stru,0.24255186999407505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,up_chain03_datawig,1,lym.nodes enlar,0.21405945616656763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,up_chain03_datawig,1,changes in node,0.30228336465057337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,up_chain03_datawig,1,lymphatics,0.23007941236297125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,up_chain03_datawig,1,defect in node,0.35521659737534883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,up_chain03_datawig,1,special forms,0.3654013597668574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,up_chain03_datawig,1,changes in lym,0.23664446424339472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,up_chain03_datawig,1,by pass,0.4033515571725129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,up_chain03_datawig,1,extravasates,0.4637902828326176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,up_chain03_datawig,1,block of affere,0.7448370215241471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,up_chain03_datawig,1,bl. of lymph.c,0.41653688570222297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,up_chain03_datawig,1,dislocation of,0.5489315411139439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,up_chain03_datawig,1,bl. of lymph.s,0.9614222475470519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,up_chain03_datawig,1,lym.nodes dimin,0.3087629932978506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,up_chain03_datawig,1,early uptake in,0.5603766041819418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,up_chain03_datawig,1,regeneration of,0.2997573901816155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,up_chain03_datawig,1,exclusion of no,0.4825338474546056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,up_chain03_datawig,2,no. of nodes in,,0.13618621310387438,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,up_chain03_datawig,2,changes in stru,,0.2189378246388752,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_lympho,up_chain03_datawig,2,lym.nodes enlar,,0.15880137352017837,,,,,,,,,,,,,,,,,,,,,,,,,,,,
