Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
14_national,up_chain03_datawig,1,RIDAGEYR,0.24847878218257774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,up_chain03_datawig,1,BMXBMI,0.13254214060524094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,up_chain03_datawig,1,LBXIN,0.12943313780232193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,up_chain03_datawig,1,LBXGLT,0.06931069364014328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,up_chain03_datawig,1,RIAGENDR,0.4921489412423649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,up_chain03_datawig,1,LBXGLU,0.048197359700606804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,up_chain03_datawig,1,DIQ010,0.09436926503710158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,up_chain03_datawig,1,PAQ605,0.33343769908715826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,up_chain03_datawig,2,RIDAGEYR,,0.27645008245828395,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,up_chain03_datawig,2,BMXBMI,,0.15011767147166935,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,up_chain03_datawig,2,LBXIN,,0.09352270501311169,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,up_chain03_datawig,2,LBXGLT,,0.09915499198214393,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,up_chain03_datawig,2,RIAGENDR,,0.44265307817358623,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,up_chain03_datawig,2,LBXGLU,,0.10008728606333406,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,up_chain03_datawig,2,DIQ010,,0.07643827504335637,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,up_chain03_datawig,2,PAQ605,,0.36887627321003214,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,up_chain03_datawig,3,RIDAGEYR,,,0.24324209730789223,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,up_chain03_datawig,3,BMXBMI,,,0.14486736114443843,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,up_chain03_datawig,3,LBXIN,,,0.12135049464591345,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,up_chain03_datawig,3,LBXGLT,,,0.10428502870593444,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,up_chain03_datawig,3,RIAGENDR,,,0.4407961361656359,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,up_chain03_datawig,3,LBXGLU,,,0.05045659000734304,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,up_chain03_datawig,3,DIQ010,,,0.06952024554796196,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,up_chain03_datawig,3,PAQ605,,,0.5029030438717227,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,up_chain03_datawig,4,RIDAGEYR,,,,0.24898116834325018,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,up_chain03_datawig,4,BMXBMI,,,,0.13074138367136098,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,up_chain03_datawig,4,LBXIN,,,,0.13778839034847065,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,up_chain03_datawig,4,LBXGLT,,,,0.0657265558869839,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,up_chain03_datawig,4,RIAGENDR,,,,0.4767028325432445,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,up_chain03_datawig,4,LBXGLU,,,,0.07771793780517396,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,up_chain03_datawig,4,DIQ010,,,,0.034314304090598935,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,up_chain03_datawig,4,PAQ605,,,,0.0738239952822285,,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,up_chain03_datawig,5,RIDAGEYR,,,,,0.2567363849837995,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,up_chain03_datawig,5,BMXBMI,,,,,0.14501297081841982,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,up_chain03_datawig,5,LBXIN,,,,,0.11454002985477482,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,up_chain03_datawig,5,LBXGLT,,,,,0.15465227899721046,,,,,,,,,,,,,,,,,,,,,,,,,
14_national,up_chain03_datawig,5,RIAGENDR,,,,,0.474709721101848,,,,,,,,,,,,,,,,,,,,,,,,,
