Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
16_rice,up_chain03_datawig,1,Extent,0.202428373542789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,up_chain03_datawig,1,Major_Axis_Length,0.1798461152882361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,up_chain03_datawig,1,Perimeter,0.15955520840257012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,up_chain03_datawig,1,Convex_Area,0.2031662976129667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,up_chain03_datawig,1,Area,0.1572682122394699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,up_chain03_datawig,1,Minor_Axis_Length,0.23369194155220321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,up_chain03_datawig,1,Eccentricity,0.1294424015225783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,up_chain03_datawig,2,Extent,,0.2205404428432147,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,up_chain03_datawig,2,Major_Axis_Length,,0.1851613244016866,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,up_chain03_datawig,2,Perimeter,,0.1936880884957285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,up_chain03_datawig,2,Convex_Area,,0.20296617801103417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_rice,up_chain03_datawig,2,Area,,0.16773332084315246,,,,,,,,,,,,,,,,,,,,,,,,,,,,
