Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
17_bank,up_chain03_datawig,1,day,0.2578271073553939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,1,job,0.28233917520080154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,1,month,0.24663177597764888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,1,age,0.1358159066970822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,1,education,0.2339815770308096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,1,marital,0.28070060026113763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,1,pdays,0.16996009526872535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,1,contact,0.4193689010440124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,1,duration,0.13947446144007142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,1,housing,0.4470531425992907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,1,loan,0.33137390496934577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,1,campaign,0.06676119898180666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,1,previous,0.09651682244246723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,1,poutcome,0.2705200619219562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,1,balance,0.14306733245815842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,1,default,0.12286050866084659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,2,day,,0.23818213218482243,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,2,job,,0.2658932772479143,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,2,month,,0.26732799718786926,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,2,age,,0.161509747965897,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,2,education,,0.20896747257362852,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,2,marital,,0.26875712808850816,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,2,pdays,,0.17763477549969525,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,2,contact,,0.4113775886846882,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,2,duration,,0.06944732358800952,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,2,housing,,0.4498108875414334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,2,loan,,0.3541190232892298,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,2,campaign,,0.09334281008580644,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,2,previous,,0.08203088436093067,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,2,poutcome,,0.3027799948534904,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,2,balance,,0.029730968744777857,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,2,default,,0.14842806590254798,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,3,day,,,0.2298119224042893,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,3,job,,,0.2737841476014561,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,3,month,,,0.2594434445690635,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,3,age,,,0.14219610453861195,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,3,education,,,0.24209898703444782,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,3,marital,,,0.2722796873552922,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,3,pdays,,,0.16889592441854437,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,3,contact,,,0.45062546956499,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,3,duration,,,0.13649973657483058,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,3,housing,,,0.45018309373039495,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,3,loan,,,0.342998095797039,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,3,campaign,,,0.06290242607402174,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,3,previous,,,0.059129380172560926,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,3,poutcome,,,0.31039604994875813,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,3,balance,,,0.13142379851684027,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,3,default,,,0.11470404655095452,,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,4,day,,,,0.24160663653583375,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,4,job,,,,0.27617855931094437,,,,,,,,,,,,,,,,,,,,,,,,,,
17_bank,up_chain03_datawig,4,month,,,,0.24726625303002142,,,,,,,,,,,,,,,,,,,,,,,,,,
