Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
21_yeast,up_chain03_datawig,1,mcg,0.1547011089779944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,up_chain03_datawig,1,gvh,0.1412084465443068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,up_chain03_datawig,1,mit,0.130147414597914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,up_chain03_datawig,1,alm,0.088785292366929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,up_chain03_datawig,1,nuc,0.08663266791833307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,up_chain03_datawig,1,vac,0.07926363415207505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,up_chain03_datawig,1,erl,0.03407279647462793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,up_chain03_datawig,1,pox,0.0359671018967792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,up_chain03_datawig,2,mcg,,0.13114562840408067,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,up_chain03_datawig,2,gvh,,0.12885236019258778,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,up_chain03_datawig,2,mit,,0.2132145818454729,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,up_chain03_datawig,2,alm,,0.14351962821510791,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,up_chain03_datawig,2,nuc,,0.10954667820864432,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,up_chain03_datawig,2,vac,,0.060655128904368576,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,up_chain03_datawig,2,erl,,0.9521113773096886,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,up_chain03_datawig,2,pox,,0.034973149329520795,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,up_chain03_datawig,3,mcg,,,0.16613784395830072,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,up_chain03_datawig,3,gvh,,,0.14990959931558442,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,up_chain03_datawig,3,mit,,,0.09759699795234549,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,up_chain03_datawig,3,alm,,,0.18027128783029706,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_yeast,up_chain03_datawig,3,nuc,,,0.09849049563625549,,,,,,,,,,,,,,,,,,,,,,,,,,,
