Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
23_ai4i,up_chain03_datawig,1,Tool wear,0.23782513514409404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,1,Air temperature,0.18818787271133552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,1,Process temperature,0.16662746745452722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,1,Torque,0.1282435139984895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,1,Rotational speed,0.08306591778720601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,2,Tool wear,,0.23475467563304353,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,2,Air temperature,,0.20098359903327617,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,2,Process temperature,,0.16525211238124293,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,2,Torque,,0.12470246044258806,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,2,Rotational speed,,0.09007328494217892,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,3,Tool wear,,,0.225997667250843,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,3,Air temperature,,,0.20337856842649804,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,3,Process temperature,,,0.15701308333360578,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,3,Torque,,,0.16011843832133668,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,3,Rotational speed,,,0.10851273432527579,,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,4,Tool wear,,,,0.2315348064785925,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,4,Air temperature,,,,0.18862924532669045,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,4,Process temperature,,,,0.1710969423605401,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,4,Torque,,,,0.12133679050738315,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,4,Rotational speed,,,,0.10083798420878039,,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,5,Tool wear,,,,,0.23101912387514933,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,5,Air temperature,,,,,0.19275430509737346,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,5,Process temperature,,,,,0.17205348826621206,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,5,Torque,,,,,0.1313529082479022,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,5,Rotational speed,,,,,0.10919547810045731,,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,6,Tool wear,,,,,,0.2244732915576878,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,6,Air temperature,,,,,,0.19875873654882212,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,6,Process temperature,,,,,,0.17180122594775402,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,6,Torque,,,,,,0.1473618663193095,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,6,Rotational speed,,,,,,0.10738805773574764,,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,7,Tool wear,,,,,,,0.23221283008865884,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,7,Air temperature,,,,,,,0.1912412417044003,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,7,Process temperature,,,,,,,0.16551157968423297,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,7,Torque,,,,,,,0.14064207838203896,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,7,Rotational speed,,,,,,,0.11800377339808923,,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,8,Tool wear,,,,,,,,0.2323028905139797,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,8,Air temperature,,,,,,,,0.20183917000611618,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,8,Process temperature,,,,,,,,0.175040942497281,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,8,Torque,,,,,,,,0.13706393441787115,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,8,Rotational speed,,,,,,,,0.10368637609345557,,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,9,Tool wear,,,,,,,,,0.23294449411020982,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,9,Air temperature,,,,,,,,,0.19910109593960773,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,9,Process temperature,,,,,,,,,0.17326319501054713,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,9,Torque,,,,,,,,,0.13231684275295372,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,9,Rotational speed,,,,,,,,,0.0914191120541034,,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,10,Tool wear,,,,,,,,,,0.21602465226340148,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,10,Air temperature,,,,,,,,,,0.196408871946635,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,10,Process temperature,,,,,,,,,,0.17476922325905048,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,10,Torque,,,,,,,,,,0.12775148302289782,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,10,Rotational speed,,,,,,,,,,0.09602926989242146,,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,11,Tool wear,,,,,,,,,,,0.22537898413414345,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,11,Air temperature,,,,,,,,,,,0.19604120310958603,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,11,Process temperature,,,,,,,,,,,0.17573297501741653,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,11,Torque,,,,,,,,,,,0.11751190938291328,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,11,Rotational speed,,,,,,,,,,,0.08391850575546811,,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,12,Tool wear,,,,,,,,,,,,0.23643315601837972,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,12,Air temperature,,,,,,,,,,,,0.19350892424297775,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,12,Process temperature,,,,,,,,,,,,0.17179584175622684,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,12,Torque,,,,,,,,,,,,0.14622415146186954,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,12,Rotational speed,,,,,,,,,,,,0.09472818063166634,,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,13,Tool wear,,,,,,,,,,,,,0.22500473197822274,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,13,Air temperature,,,,,,,,,,,,,0.18870283209962016,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,13,Process temperature,,,,,,,,,,,,,0.16730948743333243,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,13,Torque,,,,,,,,,,,,,0.12962540647449539,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,13,Rotational speed,,,,,,,,,,,,,0.09780288357326382,,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,14,Tool wear,,,,,,,,,,,,,,0.22052688715553012,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,14,Air temperature,,,,,,,,,,,,,,0.19606285194061568,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,14,Process temperature,,,,,,,,,,,,,,0.17040892660056972,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,14,Torque,,,,,,,,,,,,,,0.13572381217653373,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,14,Rotational speed,,,,,,,,,,,,,,0.09305259376294302,,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,15,Tool wear,,,,,,,,,,,,,,,0.24457110095739124,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,15,Air temperature,,,,,,,,,,,,,,,0.19398465823715694,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,15,Process temperature,,,,,,,,,,,,,,,0.1651662090307645,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,15,Torque,,,,,,,,,,,,,,,0.14485266432790486,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,15,Rotational speed,,,,,,,,,,,,,,,0.1087172266708794,,,,,,,,,,,,,,,
23_ai4i,up_chain03_datawig,16,Tool wear,,,,,,,,,,,,,,,,0.22958918944312875,,,,,,,,,,,,,,
