Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
24_credit,up_chain03_datawig,1,A6,0.23007251262978692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,1,A7,0.27352058768338455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,1,A2,0.15012588873865645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,1,A3,0.18085664395947407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,1,A8,0.22376856798017264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,1,A14,0.15099190704571205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,1,A4,0.49990129395844535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,1,A5,0.37013157864541696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,1,A12,0.4556439985676036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,1,A10,0.4787706425378749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,1,A9,0.526395670636844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,1,A11,0.30474119279176204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,1,A13,0.34385177314652243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,1,A1,0.26692024352138677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,1,A15,0.11699914101670993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,2,A6,,0.2916559395414983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,2,A7,,0.25064417542862466,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,2,A2,,0.12649613682613683,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,2,A3,,0.14117187071019832,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,2,A8,,0.15278018982696698,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,2,A14,,0.06977720024035523,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,2,A4,,0.11021040086596647,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,2,A5,,0.18325960549996864,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,2,A12,,0.44595666606849343,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,2,A10,,0.5076017775603632,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,2,A9,,0.48159047397383775,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,2,A11,,0.07671546788940704,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,2,A13,,0.31902031485062765,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,2,A1,,0.28775030892513764,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,2,A15,,0.34292230032068854,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,3,A6,,,0.3268173265747332,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,3,A7,,,0.2824219869569641,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,3,A2,,,0.1786624543401778,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,3,A3,,,0.10530466367103299,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,3,A8,,,0.23712172354680666,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,3,A14,,,0.1913752565620802,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,3,A4,,,0.4762483331483898,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,3,A5,,,0.3616080179818213,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,3,A12,,,0.4034209666956851,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,3,A10,,,0.49926088562095655,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,3,A9,,,0.490346649804751,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,3,A11,,,0.24832259716897967,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,3,A13,,,0.3054716934152219,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,3,A1,,,0.2928153624388397,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,3,A15,,,0.26732912165889117,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,4,A6,,,,0.2888592007526976,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,4,A7,,,,0.2332946405621236,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,4,A2,,,,0.2241553920453706,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,4,A3,,,,0.37618355943677434,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,4,A8,,,,0.21419696768837515,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,4,A14,,,,0.1272786968723576,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,4,A4,,,,0.1420071455192222,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,4,A5,,,,0.2762534629222875,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,4,A12,,,,0.35297993046834175,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,4,A10,,,,0.47936054244605336,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,4,A9,,,,0.482317974671372,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,4,A11,,,,0.3084940322318274,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,4,A13,,,,0.2998208431924434,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,4,A1,,,,0.26660675563671,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,4,A15,,,,0.5248942342307824,,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,5,A6,,,,,0.28039497058913954,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,5,A7,,,,,0.27079474106968415,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,5,A2,,,,,0.10226204931744534,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,5,A3,,,,,0.23171198832691262,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,5,A8,,,,,0.2518140358688784,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,5,A14,,,,,0.17019944181300203,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,5,A4,,,,,0.1049922014468596,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,5,A5,,,,,0.2380044712833872,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,5,A12,,,,,0.5118093789038007,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,5,A10,,,,,0.54106202836105,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,5,A9,,,,,0.5149007174187967,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,5,A11,,,,,0.17405025818340197,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,5,A13,,,,,0.2681300049765082,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,5,A1,,,,,0.2617742180271344,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,5,A15,,,,,0.3188605414742948,,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,6,A6,,,,,,0.2545609564364671,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,6,A7,,,,,,0.3029146525790416,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,6,A2,,,,,,0.19698358606443042,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,6,A3,,,,,,0.27909769158128767,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,6,A8,,,,,,0.21129812735960685,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,6,A14,,,,,,0.12875540664033835,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,6,A4,,,,,,0.3455666543021893,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,6,A5,,,,,,0.3939190138663231,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,6,A12,,,,,,0.42232756960056367,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,6,A10,,,,,,0.5639214348814097,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,6,A9,,,,,,0.4852680617242808,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,6,A11,,,,,,0.07023784428468267,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,6,A13,,,,,,0.16617785406381985,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,6,A1,,,,,,0.23453579057046478,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,6,A15,,,,,,0.14714403287583064,,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,7,A6,,,,,,,0.24792596055029278,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,7,A7,,,,,,,0.26452051964465634,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,7,A2,,,,,,,0.3116305222363827,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,7,A3,,,,,,,0.2010865406239674,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,7,A8,,,,,,,0.06465518840439609,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,7,A14,,,,,,,0.1784462626752011,,,,,,,,,,,,,,,,,,,,,,,
24_credit,up_chain03_datawig,7,A4,,,,,,,0.16018197170665197,,,,,,,,,,,,,,,,,,,,,,,
