Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
27_wholesale,up_chain03_datawig,1,Fresh,0.11405618666490569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27_wholesale,up_chain03_datawig,1,Grocery,0.16800286101684653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27_wholesale,up_chain03_datawig,1,Detergents_Paper,0.14273089780185105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27_wholesale,up_chain03_datawig,1,Milk,0.16434609581061474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27_wholesale,up_chain03_datawig,1,Frozen,0.035242572847138665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27_wholesale,up_chain03_datawig,1,Delicassen,0.13471787927652262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27_wholesale,up_chain03_datawig,2,Fresh,,0.12252463493559035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27_wholesale,up_chain03_datawig,2,Grocery,,0.11349691652551712,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27_wholesale,up_chain03_datawig,2,Detergents_Paper,,0.14033624036768616,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27_wholesale,up_chain03_datawig,2,Milk,,0.08582711277152227,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27_wholesale,up_chain03_datawig,2,Frozen,,0.19318288481924528,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27_wholesale,up_chain03_datawig,2,Delicassen,,0.20274435091186482,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27_wholesale,up_chain03_datawig,3,Fresh,,,0.14339977669745582,,,,,,,,,,,,,,,,,,,,,,,,,,,
27_wholesale,up_chain03_datawig,3,Grocery,,,0.13380464072138937,,,,,,,,,,,,,,,,,,,,,,,,,,,
27_wholesale,up_chain03_datawig,3,Detergents_Paper,,,0.08716072833700801,,,,,,,,,,,,,,,,,,,,,,,,,,,
27_wholesale,up_chain03_datawig,3,Milk,,,0.28273918139475196,,,,,,,,,,,,,,,,,,,,,,,,,,,
27_wholesale,up_chain03_datawig,3,Frozen,,,0.1753892957918361,,,,,,,,,,,,,,,,,,,,,,,,,,,
27_wholesale,up_chain03_datawig,3,Delicassen,,,0.11753361313405299,,,,,,,,,,,,,,,,,,,,,,,,,,,
27_wholesale,up_chain03_datawig,4,Fresh,,,,0.2003509398803485,,,,,,,,,,,,,,,,,,,,,,,,,,
27_wholesale,up_chain03_datawig,4,Grocery,,,,0.15664944279857002,,,,,,,,,,,,,,,,,,,,,,,,,,
27_wholesale,up_chain03_datawig,4,Detergents_Paper,,,,0.13416645986308745,,,,,,,,,,,,,,,,,,,,,,,,,,
27_wholesale,up_chain03_datawig,4,Milk,,,,0.09639986727148318,,,,,,,,,,,,,,,,,,,,,,,,,,
27_wholesale,up_chain03_datawig,4,Frozen,,,,0.10751790048886864,,,,,,,,,,,,,,,,,,,,,,,,,,
