Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
28_haberman,up_chain03_datawig,1,oper,0.29339175054489314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,1,age,0.18155411834656218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,1,positive,0.14490630727609802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,2,oper,,0.1889884638490929,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,2,age,,0.12091879162440008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,2,positive,,0.15649883081750032,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,3,oper,,,0.2739501045176378,,,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,3,age,,,0.16775495496362397,,,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,3,positive,,,0.2158734532433823,,,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,4,oper,,,,0.2910806567850547,,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,4,age,,,,0.157638787310032,,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,4,positive,,,,0.055226054817275244,,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,5,oper,,,,,0.2569787505041201,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,5,age,,,,,0.1782014470978608,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,5,positive,,,,,0.07092405289219485,,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,6,oper,,,,,,0.32334718055286027,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,6,age,,,,,,0.1283136172044199,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,6,positive,,,,,,0.286701861658334,,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,7,oper,,,,,,,0.35721333655810117,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,7,age,,,,,,,0.16849201474981906,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,7,positive,,,,,,,0.07772410497918285,,,,,,,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,8,oper,,,,,,,,0.29748541684591223,,,,,,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,8,age,,,,,,,,0.17381379864923752,,,,,,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,8,positive,,,,,,,,0.18072846108912816,,,,,,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,9,oper,,,,,,,,,0.3892556938945012,,,,,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,9,age,,,,,,,,,0.18130488017713903,,,,,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,9,positive,,,,,,,,,0.32551706944760894,,,,,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,10,oper,,,,,,,,,,0.22751851930529454,,,,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,10,age,,,,,,,,,,0.2094356150334041,,,,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,10,positive,,,,,,,,,,0.17482287962204074,,,,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,11,oper,,,,,,,,,,,0.25628081319640716,,,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,11,age,,,,,,,,,,,0.14432035077862876,,,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,11,positive,,,,,,,,,,,0.22373576869092715,,,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,12,oper,,,,,,,,,,,,0.28582323391782166,,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,12,age,,,,,,,,,,,,0.15289575372380437,,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,12,positive,,,,,,,,,,,,0.06217871376547311,,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,13,oper,,,,,,,,,,,,,0.2592095326761504,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,13,age,,,,,,,,,,,,,0.18435897926930517,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,13,positive,,,,,,,,,,,,,0.3628978669117175,,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,14,oper,,,,,,,,,,,,,,0.3987433956376033,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,14,age,,,,,,,,,,,,,,0.17422426815029152,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,14,positive,,,,,,,,,,,,,,0.07612071289976928,,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,15,oper,,,,,,,,,,,,,,,0.24774644870726373,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,15,age,,,,,,,,,,,,,,,0.13645775900191937,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,15,positive,,,,,,,,,,,,,,,0.15346709428488162,,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,16,oper,,,,,,,,,,,,,,,,0.29480768871816804,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,16,age,,,,,,,,,,,,,,,,0.13340798867420456,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,16,positive,,,,,,,,,,,,,,,,0.2621217829523493,,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,17,oper,,,,,,,,,,,,,,,,,0.25233492491102405,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,17,age,,,,,,,,,,,,,,,,,0.15972523629707988,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,17,positive,,,,,,,,,,,,,,,,,0.13282069454924422,,,,,,,,,,,,,
28_haberman,up_chain03_datawig,18,oper,,,,,,,,,,,,,,,,,,0.28175156410971236,,,,,,,,,,,,
28_haberman,up_chain03_datawig,18,age,,,,,,,,,,,,,,,,,,0.11314702103234672,,,,,,,,,,,,
28_haberman,up_chain03_datawig,18,positive,,,,,,,,,,,,,,,,,,0.26913959739929305,,,,,,,,,,,,
28_haberman,up_chain03_datawig,19,oper,,,,,,,,,,,,,,,,,,,0.20671586470676445,,,,,,,,,,,
28_haberman,up_chain03_datawig,19,age,,,,,,,,,,,,,,,,,,,0.20381726225000826,,,,,,,,,,,
28_haberman,up_chain03_datawig,19,positive,,,,,,,,,,,,,,,,,,,0.22200739043876253,,,,,,,,,,,
28_haberman,up_chain03_datawig,20,oper,,,,,,,,,,,,,,,,,,,,0.3072690272508439,,,,,,,,,,
28_haberman,up_chain03_datawig,20,age,,,,,,,,,,,,,,,,,,,,0.13130555600057936,,,,,,,,,,
28_haberman,up_chain03_datawig,20,positive,,,,,,,,,,,,,,,,,,,,0.16524046787650995,,,,,,,,,,
28_haberman,up_chain03_datawig,21,oper,,,,,,,,,,,,,,,,,,,,,0.3013712518245655,,,,,,,,,
28_haberman,up_chain03_datawig,21,age,,,,,,,,,,,,,,,,,,,,,0.11841441403202606,,,,,,,,,
28_haberman,up_chain03_datawig,21,positive,,,,,,,,,,,,,,,,,,,,,0.16516610692043654,,,,,,,,,
28_haberman,up_chain03_datawig,22,oper,,,,,,,,,,,,,,,,,,,,,,0.3159151043816158,,,,,,,,
28_haberman,up_chain03_datawig,22,age,,,,,,,,,,,,,,,,,,,,,,0.23131357470773273,,,,,,,,
28_haberman,up_chain03_datawig,22,positive,,,,,,,,,,,,,,,,,,,,,,0.07279285435321071,,,,,,,,
28_haberman,up_chain03_datawig,23,oper,,,,,,,,,,,,,,,,,,,,,,,0.3029015463438858,,,,,,,
28_haberman,up_chain03_datawig,23,age,,,,,,,,,,,,,,,,,,,,,,,0.09881304687775976,,,,,,,
28_haberman,up_chain03_datawig,23,positive,,,,,,,,,,,,,,,,,,,,,,,0.13023689601318014,,,,,,,
28_haberman,up_chain03_datawig,24,oper,,,,,,,,,,,,,,,,,,,,,,,,0.31625310864279854,,,,,,
28_haberman,up_chain03_datawig,24,age,,,,,,,,,,,,,,,,,,,,,,,,0.16891626754174477,,,,,,
28_haberman,up_chain03_datawig,24,positive,,,,,,,,,,,,,,,,,,,,,,,,0.15565755870895814,,,,,,
28_haberman,up_chain03_datawig,25,oper,,,,,,,,,,,,,,,,,,,,,,,,,0.2724593483698632,,,,,
28_haberman,up_chain03_datawig,25,age,,,,,,,,,,,,,,,,,,,,,,,,,0.2224124771504867,,,,,
28_haberman,up_chain03_datawig,25,positive,,,,,,,,,,,,,,,,,,,,,,,,,0.06917245958447191,,,,,
28_haberman,up_chain03_datawig,26,oper,,,,,,,,,,,,,,,,,,,,,,,,,,0.23554268043252927,,,,
28_haberman,up_chain03_datawig,26,age,,,,,,,,,,,,,,,,,,,,,,,,,,0.17966496597130255,,,,
28_haberman,up_chain03_datawig,26,positive,,,,,,,,,,,,,,,,,,,,,,,,,,0.213976090821009,,,,
28_haberman,up_chain03_datawig,27,oper,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3509167307140702,,,
28_haberman,up_chain03_datawig,27,age,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17098865718802758,,,
28_haberman,up_chain03_datawig,27,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12470172754408401,,,
28_haberman,up_chain03_datawig,28,oper,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2893712075288784,,
28_haberman,up_chain03_datawig,28,age,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16404019952350724,,
28_haberman,up_chain03_datawig,28,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16508257031583057,,
28_haberman,up_chain03_datawig,29,oper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31655524040524163,
28_haberman,up_chain03_datawig,29,age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2066722510326082,
28_haberman,up_chain03_datawig,29,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1926159139835805,
28_haberman,up_chain03_datawig,30,oper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2810293606470242
28_haberman,up_chain03_datawig,30,age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12046393774401831
28_haberman,up_chain03_datawig,30,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16576321730584348
