Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
29_echocardiogram,up_chain03_datawig,1,survival,0.15835645277429627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,1,fractional,0.17447188341929307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,1,epss,0.23834011328196306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,1,lvdd,0.3528873261393156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,1,index,0.2629926891638271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,1,score,0.2923974922714997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,1,age,0.07145854144073814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,1,mult,0.10440798129485744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,1,group,0.3274357382267863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,1,still,0.591622488575432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,1,pericardial,0.6026220593523898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,2,survival,,0.13272433731657274,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,2,fractional,,0.22263128553135136,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,2,epss,,0.14033203069959307,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,2,lvdd,,0.15185838547948194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,2,index,,0.22550786707989112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,2,score,,0.1295576872107675,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,2,age,,0.28464573101483426,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,2,mult,,0.1739630633519716,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,2,group,,0.33517789919312485,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,2,still,,0.5540014477292867,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,2,pericardial,,0.5841415192944576,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,3,survival,,,0.36864278107042936,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,3,fractional,,,0.24634870666370706,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,3,epss,,,0.3875594520053361,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,3,lvdd,,,0.45204998223073994,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,3,index,,,0.3480152017881764,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,3,score,,,0.21871960209903651,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,3,age,,,0.5134297863406672,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,3,mult,,,0.30540421441513066,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,3,group,,,0.2862701124812869,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,3,still,,,0.39183974137851385,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,3,pericardial,,,0.5713204463184343,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,4,survival,,,,0.31874538609921327,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,4,fractional,,,,0.1100417841806251,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,4,epss,,,,0.4752251695988627,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,4,lvdd,,,,0.2564179989506927,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,4,index,,,,0.5516954232694762,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,4,score,,,,0.18747583638586587,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,4,age,,,,0.10055333766036995,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,4,mult,,,,0.22801158569974314,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,4,group,,,,0.43136225714869936,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,4,still,,,,0.5578565757195677,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,4,pericardial,,,,0.2846014601583651,,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,5,survival,,,,,0.22319844538936343,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,5,fractional,,,,,0.14236377371395417,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,5,epss,,,,,0.23069243622614583,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,5,lvdd,,,,,0.7352514601117901,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,5,index,,,,,0.32986480216298353,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,5,score,,,,,0.49418043028057423,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,5,age,,,,,0.38375901973519255,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,5,mult,,,,,0.11037116098658886,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,5,group,,,,,0.4682354472775631,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,5,still,,,,,0.49748291445494885,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,5,pericardial,,,,,0.5585875197505885,,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,6,survival,,,,,,0.37554181399815184,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,6,fractional,,,,,,0.18628071320937667,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,6,epss,,,,,,0.5904657457516692,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,6,lvdd,,,,,,0.1613332545307318,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,6,index,,,,,,0.4949740851456178,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,6,score,,,,,,0.14210413999396443,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,6,age,,,,,,0.17834675833371041,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,6,mult,,,,,,0.3005572982646627,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,6,group,,,,,,0.42677946591544214,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,6,still,,,,,,0.5127606054967879,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,6,pericardial,,,,,,0.5576007675584861,,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,7,survival,,,,,,,0.3553042678687447,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,7,fractional,,,,,,,0.21542051918784827,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,7,epss,,,,,,,0.2141620425708807,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,7,lvdd,,,,,,,0.3011893067176815,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,7,index,,,,,,,0.11838939389466621,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,7,score,,,,,,,0.13800422957579878,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,7,age,,,,,,,0.3920089163278442,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,7,mult,,,,,,,0.29774842164537774,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,7,group,,,,,,,0.5347576700965071,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,7,still,,,,,,,0.5357472864154847,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,7,pericardial,,,,,,,0.5553864265983599,,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,8,survival,,,,,,,,0.30912592186318505,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,8,fractional,,,,,,,,0.13489598097698818,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,8,epss,,,,,,,,0.36505159622442596,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,8,lvdd,,,,,,,,0.8565507816678494,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,8,index,,,,,,,,0.14763032522107786,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,8,score,,,,,,,,0.09444237978025688,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,8,age,,,,,,,,0.7009139520217708,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,8,mult,,,,,,,,0.4035811065379509,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,8,group,,,,,,,,0.34435813043419994,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,8,still,,,,,,,,0.5968462732836157,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,8,pericardial,,,,,,,,0.5291472974245292,,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,9,survival,,,,,,,,,0.3090102712086838,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,9,fractional,,,,,,,,,0.1522651327457178,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,9,epss,,,,,,,,,0.27400359636827576,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,9,lvdd,,,,,,,,,0.11374435256175665,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,9,index,,,,,,,,,0.23308585706233334,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,9,score,,,,,,,,,0.08711045176031053,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,9,age,,,,,,,,,0.35039058380428934,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,9,mult,,,,,,,,,0.22002518015994613,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,9,group,,,,,,,,,0.3747830076515594,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,9,still,,,,,,,,,0.5479929156560409,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,9,pericardial,,,,,,,,,0.46345239608023786,,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,10,survival,,,,,,,,,,0.41227888375257304,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,10,fractional,,,,,,,,,,0.11997119164562892,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,10,epss,,,,,,,,,,0.30921251900483787,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,10,lvdd,,,,,,,,,,0.6277266083181938,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,10,index,,,,,,,,,,0.3564612772458338,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,10,score,,,,,,,,,,0.25019954478230527,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,10,age,,,,,,,,,,0.36135135891511705,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,10,mult,,,,,,,,,,0.15867578690960474,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,10,group,,,,,,,,,,0.6076889137062967,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,10,still,,,,,,,,,,0.5418654750939119,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,10,pericardial,,,,,,,,,,0.6302659404617769,,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,11,survival,,,,,,,,,,,0.08861505125659165,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,11,fractional,,,,,,,,,,,0.2139378834491801,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,11,epss,,,,,,,,,,,0.22134522758271816,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,11,lvdd,,,,,,,,,,,0.26171519101545393,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,11,index,,,,,,,,,,,0.097637314993226,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,11,score,,,,,,,,,,,0.31875103323226056,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,11,age,,,,,,,,,,,0.16250840304700948,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,11,mult,,,,,,,,,,,0.08021281679238258,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,11,group,,,,,,,,,,,0.5730710610292157,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,11,still,,,,,,,,,,,0.5952895316569129,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,11,pericardial,,,,,,,,,,,0.6278452615117903,,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,12,survival,,,,,,,,,,,,0.29635315805074003,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,12,fractional,,,,,,,,,,,,0.1652013263598771,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,12,epss,,,,,,,,,,,,0.17299418636133473,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,12,lvdd,,,,,,,,,,,,0.3556888231513942,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,12,index,,,,,,,,,,,,0.21391893230425196,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,12,score,,,,,,,,,,,,0.4325388267278723,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,12,age,,,,,,,,,,,,0.18405122570660518,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,12,mult,,,,,,,,,,,,0.1910678407145973,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,12,group,,,,,,,,,,,,0.48666637266808976,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,12,still,,,,,,,,,,,,0.3237483818000602,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,12,pericardial,,,,,,,,,,,,0.49408556797691283,,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,13,survival,,,,,,,,,,,,,0.36097095316116673,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,13,fractional,,,,,,,,,,,,,0.3676394706032274,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,13,epss,,,,,,,,,,,,,0.4262393397909319,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,13,lvdd,,,,,,,,,,,,,0.3184069898772939,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,13,index,,,,,,,,,,,,,0.2819091781283824,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,13,score,,,,,,,,,,,,,0.4399045284829702,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,13,age,,,,,,,,,,,,,0.08498046453113349,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,13,mult,,,,,,,,,,,,,0.06055739690669643,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,13,group,,,,,,,,,,,,,0.23765561966002755,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,13,still,,,,,,,,,,,,,0.5327926281330494,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,13,pericardial,,,,,,,,,,,,,0.3932783559541613,,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,14,survival,,,,,,,,,,,,,,0.23456193923513766,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,14,fractional,,,,,,,,,,,,,,0.2683929263666589,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,14,epss,,,,,,,,,,,,,,0.19509962201476372,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,14,lvdd,,,,,,,,,,,,,,0.2885474670215895,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,14,index,,,,,,,,,,,,,,0.21853038082341553,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,14,score,,,,,,,,,,,,,,0.2695500304790613,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,14,age,,,,,,,,,,,,,,0.37348841698500285,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,14,mult,,,,,,,,,,,,,,0.19031013230433444,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,14,group,,,,,,,,,,,,,,0.40834048147572866,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,14,still,,,,,,,,,,,,,,0.4142690878007254,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,14,pericardial,,,,,,,,,,,,,,0.3950555179489844,,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,15,survival,,,,,,,,,,,,,,,0.32957741570084403,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,15,fractional,,,,,,,,,,,,,,,0.1360559935538728,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,15,epss,,,,,,,,,,,,,,,0.2485049971328021,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,15,lvdd,,,,,,,,,,,,,,,0.15353476856366877,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,15,index,,,,,,,,,,,,,,,0.089866233364016,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,15,score,,,,,,,,,,,,,,,0.14527177547400963,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,15,age,,,,,,,,,,,,,,,0.36927585708366245,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,15,mult,,,,,,,,,,,,,,,0.34032063781467964,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,15,group,,,,,,,,,,,,,,,0.38230891377037307,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,15,still,,,,,,,,,,,,,,,0.4729392016511919,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,15,pericardial,,,,,,,,,,,,,,,0.2690258778845706,,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,16,survival,,,,,,,,,,,,,,,,0.28145479076902064,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,16,fractional,,,,,,,,,,,,,,,,0.2594633718967961,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,16,epss,,,,,,,,,,,,,,,,0.1779860221748901,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,16,lvdd,,,,,,,,,,,,,,,,0.76868154754591,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,16,index,,,,,,,,,,,,,,,,0.35053999444559714,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,16,score,,,,,,,,,,,,,,,,0.18389282708320673,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,16,age,,,,,,,,,,,,,,,,0.4135744841319052,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,16,mult,,,,,,,,,,,,,,,,0.20926629612667302,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,16,group,,,,,,,,,,,,,,,,0.47671622548900605,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,16,still,,,,,,,,,,,,,,,,0.5809770409595519,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,16,pericardial,,,,,,,,,,,,,,,,0.39089458638648694,,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,17,survival,,,,,,,,,,,,,,,,,0.15841102106730234,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,17,fractional,,,,,,,,,,,,,,,,,0.25880533177533316,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,17,epss,,,,,,,,,,,,,,,,,0.20882363304775414,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,17,lvdd,,,,,,,,,,,,,,,,,0.714626944912761,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,17,index,,,,,,,,,,,,,,,,,0.18402911548960127,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,17,score,,,,,,,,,,,,,,,,,0.2922339055410891,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,17,age,,,,,,,,,,,,,,,,,0.17961171450447033,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,17,mult,,,,,,,,,,,,,,,,,0.06486097362672605,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,17,group,,,,,,,,,,,,,,,,,0.30410504003558775,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,17,still,,,,,,,,,,,,,,,,,0.5068702636531848,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,17,pericardial,,,,,,,,,,,,,,,,,0.4160123980947624,,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,18,survival,,,,,,,,,,,,,,,,,,0.34191670642470734,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,18,fractional,,,,,,,,,,,,,,,,,,0.15335254864070028,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,18,epss,,,,,,,,,,,,,,,,,,0.38727908627156227,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,18,lvdd,,,,,,,,,,,,,,,,,,0.35562084062217364,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,18,index,,,,,,,,,,,,,,,,,,0.3303305738463923,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,18,score,,,,,,,,,,,,,,,,,,0.28791382081289163,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,18,age,,,,,,,,,,,,,,,,,,0.5125309643393908,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,18,mult,,,,,,,,,,,,,,,,,,0.215795053364111,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,18,group,,,,,,,,,,,,,,,,,,0.3510141450088922,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,18,still,,,,,,,,,,,,,,,,,,0.42499509316564493,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,18,pericardial,,,,,,,,,,,,,,,,,,0.6271604812169196,,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,19,survival,,,,,,,,,,,,,,,,,,,0.19964733464476825,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,19,fractional,,,,,,,,,,,,,,,,,,,0.21079951576145253,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,19,epss,,,,,,,,,,,,,,,,,,,0.21603571410580372,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,19,lvdd,,,,,,,,,,,,,,,,,,,0.28338448445902786,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,19,index,,,,,,,,,,,,,,,,,,,0.2496342561659446,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,19,score,,,,,,,,,,,,,,,,,,,0.2122155683692708,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,19,age,,,,,,,,,,,,,,,,,,,0.16245833807668333,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,19,mult,,,,,,,,,,,,,,,,,,,0.30512653396140194,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,19,group,,,,,,,,,,,,,,,,,,,0.37319631443613044,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,19,still,,,,,,,,,,,,,,,,,,,0.47875833845369903,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,19,pericardial,,,,,,,,,,,,,,,,,,,0.5263011495361415,,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,20,survival,,,,,,,,,,,,,,,,,,,,0.31664336914543256,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,20,fractional,,,,,,,,,,,,,,,,,,,,0.3913391746121529,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,20,epss,,,,,,,,,,,,,,,,,,,,0.1661109291336351,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,20,lvdd,,,,,,,,,,,,,,,,,,,,0.29725071588949015,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,20,index,,,,,,,,,,,,,,,,,,,,0.08405275815544119,,,,,,,,,,
29_echocardiogram,up_chain03_datawig,20,score,,,,,,,,,,,,,,,,,,,,0.1577886747080546,,,,,,,,,,
