Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
2_heart,up_chain03_datawig,1,age,0.22266661883400543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,up_chain03_datawig,1,thalach,0.21392620234384865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,up_chain03_datawig,1,trestbps,0.1983531430502491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,up_chain03_datawig,1,chol,0.2239425103219657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,up_chain03_datawig,1,oldpeak,0.17117931386280935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,up_chain03_datawig,1,ca,0.3263864384008337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,up_chain03_datawig,1,cp,0.32097453028482853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,up_chain03_datawig,1,slope,0.3774174267580095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,up_chain03_datawig,1,thal,0.5624028240201863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,up_chain03_datawig,1,restecg,0.4993597842917106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,up_chain03_datawig,1,exang,0.44573761684095325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_heart,up_chain03_datawig,1,fbs,0.280251042144134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
