Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
30_monk,up_chain03_datawig,1,a5,0.32517365918707075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,up_chain03_datawig,1,a1,0.31248766623585594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,up_chain03_datawig,1,a2,0.38665377391031985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,up_chain03_datawig,1,a4,0.3989414170270348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,up_chain03_datawig,1,a3,0.4405291407216383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,up_chain03_datawig,1,a6,0.4748643644357312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,up_chain03_datawig,2,a5,,0.2891619851532129,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,up_chain03_datawig,2,a1,,0.3566342736535265,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,up_chain03_datawig,2,a2,,0.42492473827097016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,up_chain03_datawig,2,a4,,0.3312498359624491,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,up_chain03_datawig,2,a3,,0.469140531455504,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,up_chain03_datawig,2,a6,,0.5377119336680681,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,up_chain03_datawig,3,a5,,,0.2967895483986598,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,up_chain03_datawig,3,a1,,,0.35121311982064285,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,up_chain03_datawig,3,a2,,,0.39368430413785543,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,up_chain03_datawig,3,a4,,,0.3985032361151309,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,up_chain03_datawig,3,a3,,,0.4368062755043821,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,up_chain03_datawig,3,a6,,,0.3766198287775153,,,,,,,,,,,,,,,,,,,,,,,,,,,
30_monk,up_chain03_datawig,4,a5,,,,0.3510667187855655,,,,,,,,,,,,,,,,,,,,,,,,,,
