Dataset,method,Iteration,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
3_adult,up_chain03_datawig,1,occupation,0.2765204704440232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,up_chain03_datawig,1,relationship,0.2767605698476637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,up_chain03_datawig,1,education-num,0.15356826913994892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,up_chain03_datawig,1,age,0.16911756727267097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,up_chain03_datawig,1,marital-status,0.22506692726741817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,up_chain03_datawig,1,education,0.24698143050498111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,up_chain03_datawig,1,hours-per-week,0.11413364930390218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,up_chain03_datawig,1,workclass,0.16461492649197892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,up_chain03_datawig,1,fnlwgt,0.08331918149886144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,up_chain03_datawig,1,native-country,0.17455400319353798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,up_chain03_datawig,1,capital-loss,0.07258396104059044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,up_chain03_datawig,1,sex,0.4183413955073642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,up_chain03_datawig,1,capital-gain,0.06403340171428971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,up_chain03_datawig,1,race,0.19845665678170063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_adult,up_chain03_datawig,2,occupation,,0.2715069142977696,,,,,,,,,,,,,,,,,,,,,,,,,,,,
